tradeDate,symbol,name,market,signalType,signalTime,entryTime,exitTime,entryPrice,exitPrice,grossReturn,netReturn,momentum5,momentum15,momentum30,rollingAmplitude30,intradayAmplitude,tailMomentum,signalStrength,dailySignalRank,averageAmount20,totalMarketCap,floatMarketCap,peTtm,pb,filterDataDate,roundTripCostBps
2026-06-18,601702,华峰铝业,SH,ROLLING_MOMENTUM,2026-06-18 10:30:00,2026-06-18 10:31:00,2026-06-18 10:45:00,16.420000076293945,16.18000030517578,-0.014616307551950536,-0.015616307551950537,0.02496876448816976,0.025608984481616304,0.014833112891931899,0.038244493038984695,0.04677621905139917,0.015460729673496543,0.022658928586816583,4,360552549.35,16385887146,16385887146,13.633774,2.546824,2026-06-17,10
2026-06-22,601702,华峰铝业,SH,ROLLING_MOMENTUM,2026-06-22 13:30:00,2026-06-22 13:31:00,2026-06-22 13:45:00,15.829999923706055,15.880000114440918,0.003158571760950357,0.002158571760950357,0.01668807638992531,0.009560266170569598,0.02723735889856682,0.03504217827385081,0.048366059841005615,-0.003773551407665332,0.01683066344031119,39,359684484.75,16026416130,16026416130,13.334678,2.490952,2026-06-18,10
2026-06-23,601702,华峰铝业,SH,ROLLING_MOMENTUM,2026-06-23 10:30:00,2026-06-23 10:31:00,2026-06-23 10:45:00,15.760000228881836,15.649999618530273,-0.006979734057996678,-0.007979734057996679,0.010256400224333495,0.01677420831495713,0.02872066206412982,0.03135202671982329,0.03396469561314186,0.035479628934227625,0.017153698516000848,9,349062843.4,15886621846,15886621846,13.218363,2.469224,2026-06-22,10
