tradeDate,symbol,name,market,signalType,signalTime,entryTime,exitTime,entryPrice,exitPrice,grossReturn,netReturn,momentum5,momentum15,momentum30,rollingAmplitude30,intradayAmplitude,tailMomentum,signalStrength,dailySignalRank,averageAmount20,totalMarketCap,floatMarketCap,peTtm,pb,filterDataDate,roundTripCostBps
2026-06-25,600699,均胜电子,SH,ROLLING_MOMENTUM,2026-06-25 13:30:00,2026-06-25 13:31:00,2026-06-25 13:45:00,22.770000457763672,22.989999771118164,0.009661805398843537,0.008661805398843536,0.008418278095997822,0.01020859011214581,0.023381315787555312,0.03465348701882687,0.04121376134766619,-0.00043918439529178066,0.01278564672453899,92,1160331913.15,35295538013.88,30841020937.44,26.422377,2.037565,2026-06-24,10
2026-06-30,600699,均胜电子,SH,ROLLING_MOMENTUM,2026-06-30 10:30:00,2026-06-30 10:31:00,2026-06-30 10:45:00,21.280000686645508,21.219999313354492,-0.0028196133155516945,-0.0038196133155516945,0.002827586014729766,0.020134231256231372,0.02406159689500531,0.03088809450802321,0.03088809450802321,-0.014814800424667651,0.014193414569324214,48,940278797.15,32411104766.7,28320621159.6,24.263079,1.87105,2026-06-29,10
2026-07-10,600699,均胜电子,SH,ROLLING_MOMENTUM,2026-07-10 10:30:00,2026-07-10 10:31:00,2026-07-10 10:45:00,21.860000610351562,21.950000762939453,0.004117115739936006,0.003117115739936006,0.013432098477495824,0.019096407104078894,0.02290789084151612,0.02766057921698195,0.04380952744256872,0.008759733611377607,0.01778355458780497,18,875805538.4,32892000000,28741000000.000004,23.54,1.91,2026-07-09,10
