tradeDate,symbol,name,market,signalType,signalTime,entryTime,exitTime,entryPrice,exitPrice,grossReturn,netReturn,momentum5,momentum15,momentum30,rollingAmplitude30,intradayAmplitude,tailMomentum,signalStrength,dailySignalRank,averageAmount20,totalMarketCap,floatMarketCap,peTtm,pb,filterDataDate,roundTripCostBps
2026-06-30,300433,蓝思科技,SZ,ROLLING_MOMENTUM,2026-06-30 10:30:00,2026-06-30 10:31:00,2026-06-30 10:45:00,53.16999816894531,53.79999923706055,0.011848807406640072,0.01084880740664007,0.0033975142833340133,0.015860844397388663,0.018976456070801673,0.021125378923910976,0.07003420483827072,-0.008393970487151292,0.011654415270120056,97,9904476246,273597139292.1,257579551466.47,68.095792,4.972405,2026-06-29,10
2026-07-03,300433,蓝思科技,SZ,ROLLING_MOMENTUM,2026-07-03 11:00:00,2026-07-03 11:01:00,2026-07-03 11:15:00,52.97999954223633,52.849998474121094,-0.0024537763163171578,-0.0034537763163171578,0.008564917302969821,0.01747311473536639,0.016107385004985098,0.025072383606851156,0.06300003051757819,0.020608696981069707,0.01356840332981244,70,9696194056.2,267579374700.3,251914093456.21,66.598026,4.863037,2026-07-02,10
2026-07-09,300433,蓝思科技,SZ,ROLLING_MOMENTUM,2026-07-09 13:15:00,2026-07-09 13:16:00,2026-07-09 13:30:00,45.13999938964844,45.15999984741211,0.0004430761638039016,-0.0005569238361960984,0.006241613363515253,0.021035972052358964,0.03366158191754809,0.036196975054415104,0.07105199170821397,-0.026945462738654946,0.018274631043118758,25,9124442943.6,257814000000,242719999999.99997,74.96,4.93,2026-07-08,10
