observation_month,manufacturing_pmi,non_manufacturing_pmi,availability_date
2012-01-01,50.5,55.7,2012-02-01
2012-02-01,51.0,57.3,2012-03-01
2012-03-01,53.1,58.0,2012-04-01
2012-04-01,53.3,56.1,2012-05-01
2012-05-01,50.4,55.2,2012-06-01
2012-06-01,50.2,56.7,2012-07-01
2012-07-01,50.1,55.6,2012-08-01
2012-08-01,49.2,56.3,2012-09-01
2012-09-01,49.8,53.7,2012-10-01
2012-10-01,50.2,55.5,2012-11-01
2012-11-01,50.6,55.6,2012-12-01
2012-12-01,50.6,56.1,2013-01-01
2013-01-01,50.4,56.2,2013-02-01
2013-02-01,50.1,54.5,2013-03-01
2013-03-01,50.9,55.6,2013-04-01
2013-04-01,50.6,54.5,2013-05-01
2013-05-01,50.8,54.3,2013-06-01
2013-06-01,50.1,53.9,2013-07-01
2013-07-01,50.3,54.1,2013-08-01
2013-08-01,51.0,53.9,2013-09-01
2013-09-01,51.1,55.4,2013-10-01
2013-10-01,51.4,56.3,2013-11-01
2013-11-01,51.4,56.0,2013-12-01
2013-12-01,51.0,54.6,2014-01-01
2014-01-01,50.5,53.4,2014-02-01
2014-02-01,50.2,55.0,2014-03-01
2014-03-01,50.3,54.5,2014-04-01
2014-04-01,50.4,54.8,2014-05-01
2014-05-01,50.8,55.5,2014-06-01
2014-06-01,51.0,55.0,2014-07-01
2014-07-01,51.7,54.2,2014-08-01
2014-08-01,51.1,54.4,2014-09-01
2014-09-01,51.1,54.0,2014-10-01
2014-10-01,50.8,53.8,2014-11-01
2014-11-01,50.3,53.9,2014-12-01
2014-12-01,50.1,54.1,2015-01-01
2015-01-01,49.8,53.7,2015-02-01
2015-02-01,49.9,53.9,2015-03-01
2015-03-01,50.1,53.7,2015-04-01
2015-04-01,50.1,53.4,2015-05-01
2015-05-01,50.2,53.2,2015-06-01
2015-06-01,50.2,53.8,2015-07-01
2015-07-01,50.0,53.9,2015-08-01
2015-08-01,49.7,53.4,2015-09-01
2015-09-01,49.8,53.4,2015-10-01
2015-10-01,49.8,53.1,2015-11-01
2015-11-01,49.6,53.6,2015-12-01
2015-12-01,49.7,54.4,2016-01-01
2016-01-01,49.4,53.5,2016-02-01
2016-02-01,49.0,52.7,2016-03-01
2016-03-01,50.2,53.8,2016-04-01
2016-04-01,50.1,53.5,2016-05-01
2016-05-01,50.1,53.1,2016-06-01
2016-06-01,50.0,53.7,2016-07-01
2016-07-01,49.9,53.9,2016-08-01
2016-08-01,50.4,53.5,2016-09-01
2016-09-01,50.4,53.7,2016-10-01
2016-10-01,51.2,54.0,2016-11-01
2016-11-01,51.7,54.7,2016-12-01
2016-12-01,51.4,54.5,2017-01-01
2017-01-01,51.3,54.6,2017-02-01
2017-02-01,51.6,54.2,2017-03-01
2017-03-01,51.8,55.1,2017-04-01
2017-04-01,51.2,54.0,2017-05-01
2017-05-01,51.2,54.5,2017-06-01
2017-06-01,51.7,54.9,2017-07-01
2017-07-01,51.4,54.5,2017-08-01
2017-08-01,51.7,53.4,2017-09-01
2017-09-01,52.4,55.4,2017-10-01
2017-10-01,51.6,54.3,2017-11-01
2017-11-01,51.8,54.8,2017-12-01
2017-12-01,51.6,55.0,2018-01-01
2018-01-01,51.3,55.3,2018-02-01
2018-02-01,50.3,54.4,2018-03-01
2018-03-01,51.5,54.6,2018-04-01
2018-04-01,51.4,54.8,2018-05-01
2018-05-01,51.9,54.9,2018-06-01
2018-06-01,51.5,55.0,2018-07-01
2018-07-01,51.2,54.0,2018-08-01
2018-08-01,51.3,54.2,2018-09-01
2018-09-01,50.8,54.9,2018-10-01
2018-10-01,50.2,53.9,2018-11-01
2018-11-01,50.0,53.4,2018-12-01
2018-12-01,49.4,53.8,2019-01-01
2019-01-01,49.5,54.7,2019-02-01
2019-02-01,49.2,54.3,2019-03-01
2019-03-01,50.5,54.8,2019-04-01
2019-04-01,50.1,54.3,2019-05-01
