observation_month,m2_yoy,m1_yoy,m1_m2_gap,availability_date
2011-02-01,15.7,14.5,-1.1999999999999993,2011-03-20
2011-03-01,16.6,15.0,-1.6000000000000014,2011-04-20
2011-04-01,15.3,12.9,-2.4000000000000004,2011-05-20
2011-05-01,15.1,12.7,-2.4000000000000004,2011-06-20
2011-06-01,15.9,13.1,-2.8000000000000007,2011-07-20
2011-07-01,14.7,11.6,-3.0999999999999996,2011-08-20
2011-08-01,13.5,11.2,-2.3000000000000007,2011-09-20
2011-09-01,13.04,8.85,-4.1899999999999995,2011-10-20
2011-10-01,12.9,8.4,-4.5,2011-11-20
2011-11-01,12.7,7.8,-4.8999999999999995,2011-12-20
2011-12-01,13.6,7.9,-5.699999999999999,2012-01-20
2012-01-01,12.4,3.1,-9.3,2012-02-20
2012-02-01,13.0,4.3,-8.7,2012-03-20
2012-03-01,13.4,4.4,-9.0,2012-04-20
2012-04-01,12.8,3.1,-9.700000000000001,2012-05-20
2012-05-01,13.2,3.5,-9.7,2012-06-20
2012-06-01,13.6,4.7,-8.899999999999999,2012-07-20
2012-07-01,13.9,4.6,-9.3,2012-08-20
2012-08-01,13.5,4.5,-9.0,2012-09-20
2012-09-01,14.8,7.3,-7.500000000000001,2012-10-20
2012-10-01,14.1,6.1,-8.0,2012-11-20
2012-11-01,13.9,5.5,-8.4,2012-12-20
2012-12-01,13.8,6.5,-7.300000000000001,2013-01-20
2013-01-01,15.9,15.3,-0.5999999999999996,2013-02-20
2013-02-01,15.2,9.5,-5.699999999999999,2013-03-20
2013-03-01,15.7,11.9,-3.799999999999999,2013-04-20
2013-04-01,16.1,11.9,-4.200000000000001,2013-05-20
2013-05-01,15.8,11.3,-4.5,2013-06-20
2013-06-01,14.0,9.1,-4.9,2013-07-20
2013-07-01,14.5,9.7,-4.800000000000001,2013-08-20
2013-08-01,14.7,9.9,-4.799999999999999,2013-09-20
2013-09-01,14.2,8.9,-5.299999999999999,2013-10-20
2013-10-01,14.3,8.9,-5.4,2013-11-20
2013-11-01,14.2,9.4,-4.799999999999999,2013-12-20
2013-12-01,13.6,9.3,-4.299999999999999,2014-01-20
2014-01-01,13.2,1.2,-12.0,2014-02-20
2014-02-01,13.3,6.9,-6.4,2014-03-20
2014-03-01,12.1,5.4,-6.699999999999999,2014-04-20
2014-04-01,13.2,5.5,-7.699999999999999,2014-05-20
2014-05-01,13.4,5.7,-7.7,2014-06-20
2014-06-01,14.7,8.9,-5.799999999999999,2014-07-20
2014-07-01,13.5,6.7,-6.8,2014-08-20
2014-08-01,12.8,5.7,-7.1000000000000005,2014-09-20
2014-09-01,12.9,4.8,-8.100000000000001,2014-10-20
2014-10-01,12.6,3.2,-9.399999999999999,2014-11-20
2014-11-01,12.3,3.2,-9.100000000000001,2014-12-20
2014-12-01,12.2,3.2,-9.0,2015-01-20
2015-01-01,10.8,10.6,-0.20000000000000107,2015-02-20
2015-02-01,12.5,5.6,-6.9,2015-03-20
2015-03-01,11.6,2.9,-8.7,2015-04-20
2015-04-01,10.1,3.7,-6.3999999999999995,2015-05-20
2015-05-01,10.8,4.7,-6.1000000000000005,2015-06-20
2015-06-01,11.8,4.3,-7.500000000000001,2015-07-20
2015-07-01,13.3,6.6,-6.700000000000001,2015-08-20
2015-08-01,13.3,9.3,-4.0,2015-09-20
2015-09-01,13.1,11.4,-1.6999999999999993,2015-10-20
2015-10-01,13.5,14.0,0.5,2015-11-20
2015-11-01,13.7,15.7,2.0,2015-12-20
2015-12-01,13.3,15.2,1.8999999999999986,2016-01-20
2016-01-01,14.0,18.6,4.600000000000001,2016-02-20
2016-02-01,13.3,17.4,4.099999999999998,2016-03-20
2016-03-01,13.4,22.1,8.700000000000001,2016-04-20
2016-04-01,12.8,22.9,10.099999999999998,2016-05-20
2016-05-01,11.8,23.7,11.899999999999999,2016-06-20
2016-06-01,11.8,24.6,12.8,2016-07-20
2016-07-01,10.2,25.4,15.2,2016-08-20
2016-08-01,11.4,25.3,13.9,2016-09-20
2016-09-01,11.5,24.7,13.2,2016-10-20
2016-10-01,11.6,23.9,12.299999999999999,2016-11-20
2016-11-01,11.4,22.7,11.299999999999999,2016-12-20
2016-12-01,11.3,21.4,10.099999999999998,2017-01-20
2017-01-01,10.7032,14.5,3.7967999999999993,2017-02-20
2017-02-01,10.45,21.4,10.95,2017-03-20
2017-03-01,10.1178,18.8,8.6822,2017-04-20
2017-04-01,9.8426,18.5,8.6574,2017-05-20
2017-05-01,9.1289,17.0,7.8711,2017-06-20
2017-06-01,9.1013,15.0,5.8987,2017-07-20
2017-07-01,8.89,15.3,6.41,2017-08-20
2017-08-01,8.5633,14.0,5.4367,2017-09-20
2017-09-01,8.976,14.0,5.023999999999999,2017-10-20
2017-10-01,8.8771,13.0,4.1229,2017-11-20
2017-11-01,9.1148,12.7,3.5851999999999986,2017-12-20
2017-12-01,8.0654,11.8,3.7346000000000004,2018-01-20
2018-01-01,8.6,15.0,6.4,2018-02-20
2018-02-01,8.8,8.5,-0.3000000000000007,2018-03-20
2018-03-01,8.2,7.1,-1.0999999999999996,2018-04-20
2018-04-01,8.3,7.2,-1.1000000000000005,2018-05-20
2018-05-01,8.3,6.0,-2.3000000000000007,2018-06-20
2018-06-01,8.0,6.6,-1.4000000000000004,2018-07-20
2018-07-01,8.5,5.1,-3.4000000000000004,2018-08-20
2018-08-01,8.2,3.9,-4.299999999999999,2018-09-20
2018-09-01,8.3,4.0,-4.300000000000001,2018-10-20
2018-10-01,8.0,2.7,-5.3,2018-11-20
2018-11-01,8.0,1.5,-6.5,2018-12-20
2018-12-01,8.1,1.5,-6.6,2019-01-20
2019-01-01,8.4,0.4,-8.0,2019-02-20
2019-02-01,8.0,1.6,-6.4,2019-03-20
2019-03-01,8.6,4.6,-4.0,2019-04-20
2019-04-01,8.5,2.9,-5.6,2019-05-20
2019-05-01,8.5,3.4,-5.1,2019-06-20
2019-06-01,8.5,4.4,-4.1,2019-07-20
2019-07-01,8.1,3.1,-5.0,2019-08-20
2019-08-01,8.2,3.4,-4.799999999999999,2019-09-20
2019-09-01,8.4,3.4,-5.0,2019-10-20
2019-10-01,8.4,3.3,-5.1000000000000005,2019-11-20
2019-11-01,8.2,3.5,-4.699999999999999,2019-12-20
2019-12-01,8.7,4.4,-4.299999999999999,2020-01-20
2020-01-01,8.4,0.0,-8.4,2020-02-20
2020-02-01,8.8,4.8,-4.000000000000001,2020-03-20
2020-03-01,10.1,5.0,-5.1,2020-04-20
2020-04-01,11.1,5.5,-5.6,2020-05-20
2020-05-01,11.1,6.8,-4.3,2020-06-20
2020-06-01,11.1,6.5,-4.6,2020-07-20
2020-07-01,10.7,6.9,-3.799999999999999,2020-08-20
2020-08-01,10.4,8.0,-2.4000000000000004,2020-09-20
2020-09-01,10.9,8.1,-2.8000000000000007,2020-10-20
2020-10-01,10.5,9.1,-1.4000000000000004,2020-11-20
2020-11-01,10.7,10.0,-0.6999999999999993,2020-12-20
2020-12-01,10.1,8.6,-1.5,2021-01-20
