rank,code,name,industry,pb_sel,pb_now,mcap_yi,ret_sel_pct,mom20_pct,mom60_pct,mom120_pct,px_vs_ma60_pct,px_vs_ma20_pct,dist_hi52w_pct,dist_lo52w_pct,avg_amt20d_yi,fin_period,fin_quarter,netprofit_yoy_pct,revenue_yoy_pct,roe_pct,netmargin_pct,debt_assets_pct,netprofit_yi,div_yield_pct,div_count
1,600782,新钢股份,钢铁行业,0.36,0.36,89.2,-0.36,0.72,8.11,-28.3,2.87,0.83,-32.41,12.9,1.08,2026-06-30,2,-652.6,-8.0,-2.36,-3.77,43.0,-6.07,4.82,1
2,002110,三钢闽光,钢铁行业,0.39,0.39,73.8,-0.65,-2.88,3.4,-30.91,1.0,0.73,-37.83,7.04,0.73,2026-06-30,2,-239.2,4.1,-0.99,-0.83,62.5,-1.92,0.33,1
3,600248,陕建股份,工程建设,0.39,0.39,107.7,0.0,2.11,-2.03,-22.46,1.05,0.29,-27.86,8.61,0.55,2026-06-30,2,-78.6,-24.3,0.82,0.52,89.2,2.26,0.69,1
4,000498,山东路桥,工程建设,0.43,0.43,77.2,0.81,0.4,2.81,-18.44,0.99,0.18,-20.91,9.38,0.44,2026-06-30,2,-28.9,-11.3,3.15,2.88,76.3,7.31,4.47,3
5,300070,碧水源,环保行业,0.46,0.46,125.0,-0.86,-1.43,-1.15,-18.82,0.57,-0.46,-27.82,8.15,0.98,2026-06-30,2,128.5,-4.6,0.11,1.09,62.8,0.3,0.12,1
6,600649,城投控股,房地产开发,0.46,0.49,101.2,5.18,11.85,11.54,-16.8,10.09,5.19,-28.01,17.68,1.62,2026-06-30,2,-133.8,-52.1,-0.25,-1.82,73.3,-0.52,0.99,1
7,600269,赣粤高速,铁路公路,0.47,0.48,91.6,1.82,0.51,-5.08,-21.6,-1.76,2.44,-29.5,4.53,0.79,2026-06-30,2,-72.8,-13.7,1.06,7.81,44.4,2.08,4.34,1
8,600682,南京新百,商业百货,0.47,0.46,75.5,-1.06,-0.53,-3.94,-21.87,0.05,-2.43,-39.42,8.93,0.96,2026-06-30,2,-78.4,-10.0,0.22,1.24,27.9,0.36,,0
9,600266,城建发展,房地产开发,0.49,0.5,89.3,1.9,6.7,-1.6,-20.52,4.08,1.44,-39.86,11.11,2.27,2026-06-30,2,-111.3,-20.7,-0.74,-0.68,78.9,-0.69,1.16,1
10,600657,信达地产,房地产开发,0.52,0.68,99.8,30.6,36.19,28.68,7.69,36.68,28.18,-20.27,52.84,1.54,2026-06-30,2,64.2,-27.8,-8.62,-102.84,75.9,-13.2,,0
11,600373,中文传媒,文化传媒,0.55,0.56,100.0,1.92,3.06,-2.89,-15.59,3.89,3.4,-35.26,11.92,0.87,2026-06-30,2,-0.7,-12.4,1.61,9.34,37.4,2.89,2.7,1
12,000778,新兴铸管,钢铁行业,0.56,0.56,147.0,0.82,-1.07,-7.25,-25.35,-1.93,-0.01,-29.73,2.77,1.68,2026-06-30,2,-8.0,19.2,1.41,1.76,42.6,3.72,2.02,1
13,600739,辽宁成大,贸易行业,0.57,0.56,166.2,-1.71,1.68,11.89,-9.15,3.65,0.59,-17.21,11.89,1.81,2026-06-30,2,125.8,-13.6,5.49,36.72,34.5,16.2,1.37,1
14,600859,王府井,商业百货,0.57,0.59,113.9,2.74,0.5,-0.49,-23.14,2.54,1.4,-38.31,10.35,1.44,2026-06-30,2,-33.2,-7.0,0.28,1.09,48.5,0.54,,0
15,002061,浙江交科,工程建设,0.58,0.58,91.7,-0.29,-1.14,-3.07,-15.98,-1.52,-0.94,-18.74,5.15,0.58,2026-06-30,2,-19.0,-3.0,2.75,2.44,75.4,4.41,3.17,1
16,600528,中铁工业,交运设备,0.6,0.61,154.6,0.43,-1.28,1.75,-19.35,0.21,-0.46,-23.35,7.08,0.62,2026-06-30,2,-10.7,-10.6,2.18,5.06,54.6,6.15,1.3,1
17,600017,日照港,航运港口,0.61,0.62,87.7,0.71,6.34,9.37,-11.88,5.81,3.75,-12.42,14.0,1.1,2026-06-30,2,-7.2,4.1,2.36,8.71,61.0,3.33,2.54,2
18,600717,天津港,航运港口,0.61,0.62,126.2,1.63,3.07,-0.55,-6.96,2.83,1.8,-19.07,12.08,0.84,2026-06-30,2,34.5,-13.2,3.33,12.63,24.5,6.77,2.34,1
19,000990,诚志股份,化学原料,0.63,0.61,110.1,-3.58,-3.86,-26.98,-35.69,-17.46,-1.98,-50.87,2.54,3.24,2026-06-30,2,1416.2,2.8,1.63,4.72,30.9,2.9,,0
20,600502,安徽建工,工程建设,0.64,0.64,76.6,0.0,-1.98,0.13,-7.49,-1.72,-0.84,-23.31,4.27,1.24,2026-06-30,2,2.1,1.7,2.73,1.84,85.1,5.64,6.05,2
21,000028,国药一致,医药商业,0.65,0.65,123.6,1.41,-0.64,2.37,-12.37,-0.27,0.74,-15.83,6.77,0.68,2026-06-30,2,-9.0,-1.4,3.21,1.67,54.5,6.06,3.05,1
22,600643,爱建集团,多元金融,0.66,0.68,66.4,2.46,6.38,6.92,-9.54,4.86,3.27,-34.23,12.4,0.64,2026-06-30,2,-81.0,-31.7,0.27,4.47,54.6,0.27,,0
23,600064,南京高科,房地产开发,0.67,0.67,132.7,0.13,0.39,5.5,-13.72,1.65,0.39,-16.81,7.57,1.2,2026-06-30,2,-9.1,-28.2,6.38,89.27,47.1,12.56,4.17,1
24,600335,国机汽车,汽车服务,0.67,0.66,77.1,-1.71,1.57,-0.19,-18.81,1.77,0.76,-26.52,10.68,0.91,2026-06-30,2,21.1,-8.7,2.21,1.68,68.4,2.58,2.16,2
25,600827,百联股份,商业百货,0.67,0.68,139.9,1.95,2.22,-0.63,-9.57,1.29,1.86,-22.53,5.8,1.02,2026-06-30,2,191.6,-9.1,4.44,7.57,58.0,9.13,1.91,1
26,600155,华创云信,证券,0.68,0.67,136.0,0.0,5.41,19.81,-8.38,7.96,3.64,-22.22,19.81,1.74,2026-06-30,2,202.7,33.9,1.19,13.57,69.7,2.39,,0
27,600740,山西焦化,煤炭行业,0.68,0.66,99.4,-3.0,9.6,6.82,-22.06,8.82,3.34,-24.48,21.63,1.94,2026-06-30,2,81.2,-3.8,-0.1,-0.47,39.8,-0.15,0.64,1
28,600997,开滦股份,煤炭行业,0.69,0.65,87.5,-6.13,1.85,4.95,-19.5,3.2,-1.4,-26.02,16.0,0.78,2026-06-30,2,-138.3,7.2,-1.02,-1.46,43.7,-1.38,0.36,1
29,600123,兰花科创,煤炭行业,0.71,0.68,103.9,-4.6,0.86,5.07,-2.22,7.07,-2.68,-4.6,32.02,1.84,2026-06-30,2,44.6,18.3,0.55,1.73,60.4,0.83,,0
30,002010,传化智联,物流行业,0.72,0.7,126.6,-2.97,-4.98,-2.56,-26.25,-2.31,-2.74,-34.67,2.92,0.76,2026-06-30,2,-11.9,-35.5,2.48,5.67,50.6,4.48,3.28,2
31,600639,浦东金桥,房地产开发,0.72,0.73,107.5,1.16,1.38,-0.62,-12.75,0.97,0.87,-16.91,5.62,0.4,2026-06-30,2,-30.0,11.2,0.81,11.48,60.1,1.23,4.18,1
32,600787,中储股份,物流行业,0.72,0.72,99.6,-0.22,0.0,4.62,-20.2,1.6,-0.07,-25.98,10.6,0.73,2026-06-30,2,-54.8,25.8,1.34,0.51,38.7,1.87,2.46,1
33,002233,塔牌集团,水泥建材,0.73,0.71,83.3,-2.21,-4.32,-5.34,-22.61,-3.41,-1.32,-26.23,1.72,0.77,2026-06-30,2,-49.6,-15.3,1.84,12.6,9.4,2.19,6.77,1
34,601333,广深铁路,铁路公路,0.74,0.77,221.7,2.96,5.74,6.73,2.25,5.77,4.95,-8.67,13.82,2.03,2026-06-30,2,7.3,5.9,4.16,8.05,22.3,11.9,2.88,1
35,002101,广东鸿图,汽车零部件,0.75,0.74,57.9,-1.47,-0.11,4.18,-26.39,-1.68,-0.17,-40.81,4.93,0.37,2026-06-30,2,-65.1,-2.0,0.5,0.95,43.3,0.4,2.89,1
36,600022,山东钢铁,钢铁行业,0.75,0.75,143.4,0.0,-0.74,4.69,-22.99,1.34,0.26,-24.29,8.94,1.03,2026-06-30,2,14.3,-8.2,-0.16,-0.09,64.4,-0.3,,0
37,600033,福建高速,铁路公路,0.77,0.8,99.9,3.41,2.82,4.3,-5.21,3.65,2.71,-23.83,13.04,0.88,2026-06-30,2,-6.8,-2.9,4.09,35.3,15.3,5.09,3.32,2
38,600037,歌华有线,文化传媒,0.77,0.76,98.3,-1.12,1.44,9.39,-9.26,4.6,0.61,-26.2,14.24,1.1,2026-06-30,2,2301.6,44.5,1.67,15.83,17.8,2.13,0.71,1
39,601222,林洋能源,仪器仪表,0.77,0.78,121.0,1.72,5.89,-2.15,-11.62,5.28,4.48,-13.3,11.47,1.54,2026-06-30,2,31.7,82.4,2.77,9.43,32.4,4.27,1.48,1
40,000885,城发环境,环保行业,0.8,0.8,78.1,0.08,-5.44,-4.18,-13.84,-3.19,-2.57,-21.82,1.08,0.54,2026-06-30,2,-3.1,1.7,5.86,17.45,66.4,5.71,3.17,1
41,000950,重药控股,医药商业,0.8,0.78,91.1,-2.03,-2.03,3.3,-7.48,-1.36,-5.12,-25.18,7.91,2.72,2026-06-30,2,-9.9,-2.6,2.18,0.63,75.5,2.54,1.13,2
42,002091,江苏国泰,贸易行业,0.8,0.8,125.5,-0.13,1.18,2.8,-16.01,1.39,-0.51,-24.26,8.59,0.87,2026-06-30,2,-13.9,6.5,2.85,2.37,50.4,4.69,6.1,2
43,600328,中盐化工,化学原料,0.8,0.8,93.7,-0.47,1.11,-2.17,-36.78,1.27,0.5,-38.83,9.42,0.97,2026-06-30,2,-616.4,-18.5,-2.3,-5.57,36.6,-2.72,0.4,1
44,600963,岳阳林纸,造纸印刷,0.8,0.79,60.3,-0.58,3.63,-1.72,-38.42,4.61,0.91,-47.79,16.27,1.02,2026-06-30,2,-106.8,-11.7,-0.13,-0.25,62.0,-0.1,,0
45,601200,上海环境,环保行业,0.8,0.79,93.7,-0.57,-0.29,-3.47,-22.41,-0.18,-0.33,-23.52,5.45,0.44,2026-06-30,2,-8.8,-10.1,2.59,11.49,55.4,3.06,1.94,1
46,300284,苏交科,工程咨询服务,0.81,0.79,65.7,-1.89,-3.53,-7.8,-27.73,-2.37,-2.56,-46.91,4.0,0.81,2026-06-30,2,-16.6,-0.6,0.95,4.51,42.9,0.8,1.83,2
47,000563,陕国投Ａ,多元金融,0.82,0.82,155.5,0.33,1.67,7.04,-13.39,2.27,1.01,-20.31,10.14,1.25,2026-06-30,2,0.3,2.9,3.85,51.78,26.2,7.28,2.96,3
48,000690,宝新能源,电力行业,0.82,0.83,107.7,1.02,3.13,-3.51,4.42,1.93,2.17,-20.03,24.05,2.55,2026-06-30,2,13.3,-4.2,4.86,15.17,42.0,6.33,5.05,2
49,600623,华谊集团,化学原料,0.82,0.81,182.3,-1.83,3.49,2.75,-25.93,3.29,2.1,-28.33,18.95,1.23,2026-06-30,2,0.6,1.8,2.17,2.0,57.1,4.9,1.28,1
50,000030,富奥股份,汽车零部件,0.83,0.83,69.7,0.5,-4.93,-2.17,-22.26,-2.52,-3.98,-32.61,4.65,0.41,2026-06-30,2,-38.2,-7.6,2.22,2.59,46.7,1.88,3.7,1
51,002212,天融信,软件开发,0.83,0.85,78.4,2.15,-2.21,10.28,-21.39,8.23,1.99,-48.81,26.19,4.34,2026-06-30,2,-321.8,-34.0,-2.88,-50.03,15.6,-2.73,,0
52,600420,国药现代,化学制药,0.83,0.83,113.9,-0.24,-2.41,-0.59,-20.81,-1.47,-1.5,-24.46,9.13,0.81,2026-06-30,2,-59.0,-19.2,1.99,6.99,17.8,2.76,3.53,2
53,601778,晶科科技,电力行业,0.83,0.81,133.3,-2.19,-7.73,-25.84,-37.86,-8.4,-3.43,-52.08,10.57,3.82,2026-06-30,2,-252.8,-33.9,-1.17,-13.36,59.4,-1.87,0.79,1
54,001914,招商积余,房地产服务,0.85,0.88,96.7,3.73,5.4,-2.24,-14.68,4.49,4.18,-29.44,12.5,0.82,2026-06-30,2,0.2,6.6,4.55,5.1,46.1,4.98,2.83,1
55,002060,广东建工,工程建设,0.86,0.85,119.4,-1.85,-3.93,-0.93,-21.1,-1.24,-1.64,-23.38,4.95,0.49,2026-06-30,2,-48.3,-13.2,1.26,0.71,89.2,1.81,4.4,1
56,601801,皖新传媒,文化传媒,0.86,0.86,102.6,0.38,-4.38,-1.69,-22.83,-0.83,-2.23,-26.92,6.29,0.71,2026-06-30,2,-27.5,-15.5,4.07,12.66,38.4,4.91,5.73,2
57,000581,威孚高科,汽车零部件,0.87,0.87,174.9,0.06,4.21,3.43,-24.12,3.16,2.22,-28.78,8.19,1.4,2026-06-30,2,19.2,14.2,4.2,12.72,32.1,8.36,4.42,2
58,000685,中山公用,公用事业,0.87,0.87,167.8,0.09,3.53,11.51,-2.64,2.61,2.03,-20.74,19.94,1.53,2026-06-30,2,104.0,2.4,7.64,67.54,48.3,14.68,3.37,1
59,000156,华数传媒,文化传媒,0.88,0.87,130.8,-0.84,3.67,11.53,-11.53,4.96,2.67,-28.18,11.89,0.64,2026-06-30,2,-17.3,-4.4,1.39,4.96,46.8,2.1,2.27,1
60,002004,华邦健康,化学制药,0.88,0.87,88.1,-0.89,0.45,3.46,-17.31,2.64,-1.35,-20.98,13.23,1.29,2026-06-30,2,-17.8,-0.6,3.11,5.4,42.0,3.19,10.11,2
61,002727,一心堂,医药商业,0.88,0.89,65.9,0.99,-0.88,3.97,-13.41,1.11,-3.51,-24.37,17.41,1.54,2026-06-30,2,2.9,-5.0,3.46,3.03,50.3,2.57,3.55,2
62,601311,骆驼股份,电池,0.88,0.91,89.9,2.54,-2.67,-2.79,-22.15,-2.08,-0.09,-33.33,4.22,0.95,2026-06-30,2,-47.4,-4.4,2.76,3.66,36.8,2.79,4.7,1
63,000552,甘肃能化,煤炭行业,0.89,0.83,137.0,-6.91,0.79,0.39,-2.29,1.59,-1.63,-12.63,14.29,2.08,2026-06-30,2,190.7,24.7,1.05,3.71,53.2,1.74,,0
64,600094,大名城,房地产开发,0.89,0.9,92.3,1.28,-10.99,2.85,-9.36,0.67,-2.26,-31.43,22.53,0.9,2026-06-30,2,-70.0,-52.2,0.1,1.32,32.7,0.1,,0
65,600757,长江传媒,文化传媒,0.89,0.89,89.0,0.0,-5.42,-3.33,-15.5,-3.88,-2.92,-18.62,1.81,0.81,2026-06-30,2,-29.5,-16.7,4.67,16.33,27.1,4.83,5.59,1
66,603567,珍宝岛,中药,0.89,0.86,51.9,-2.65,-22.03,-7.23,-27.37,-2.49,-9.16,-56.5,28.97,3.63,2026-06-30,2,-246.1,-58.6,-4.41,-91.75,41.1,-2.71,,0
67,000012,南 玻Ａ,玻璃玻纤,0.9,0.9,113.2,-0.27,-3.38,-8.82,-23.61,-8.79,-1.43,-29.14,2.2,0.72,2026-06-30,2,-665.1,-5.6,-3.26,-6.88,58.3,-4.21,0.54,1
68,000930,中粮科技,农牧饲渔,0.9,0.93,95.6,3.62,9.34,6.19,-35.3,9.52,4.94,-35.3,21.18,1.51,2026-06-30,2,-257.9,-7.0,-1.62,-2.07,40.7,-1.69,0.58,1
69,600273,嘉化能源,化学制品,0.9,0.88,88.1,-1.61,-1.9,-3.17,-32.49,-0.73,-0.74,-42.93,5.0,1.08,2026-06-30,2,-62.3,0.6,2.15,4.35,29.0,2.19,6.7,2
70,603599,广信股份,农药兽药,0.9,0.96,98.0,7.16,2.87,3.26,-31.71,5.05,5.16,-34.29,13.61,1.52,2026-06-30,2,1.8,-14.4,3.52,22.08,30.3,3.57,2.04,1
71,000059,华锦股份,石油行业,0.92,0.91,92.0,-0.52,25.27,35.93,-5.12,26.47,13.78,-13.79,53.33,3.55,2026-06-30,2,136.9,-12.9,3.7,2.09,56.8,3.65,,0
72,000543,皖能电力,电力行业,0.92,0.94,167.8,2.07,-5.73,-14.25,-16.76,-4.94,-1.44,-24.64,5.11,1.46,2026-06-30,2,-26.8,-12.9,4.43,6.91,64.0,8.25,5.12,1
73,002051,中工国际,工程建设,0.92,0.91,104.7,-0.47,-7.38,-26.32,-6.05,-11.06,-1.33,-36.84,7.28,1.83,2026-06-30,2,-26.4,5.4,1.12,2.58,52.6,1.3,1.29,1
74,600864,哈投股份,证券,0.92,0.92,120.3,-0.52,7.24,14.68,-10.53,6.26,3.62,-29.6,14.68,2.5,2026-06-30,2,6.3,6.6,3.08,42.02,70.2,4.04,0.88,1
75,000686,东北证券,证券,0.93,0.93,189.8,-0.37,0.62,9.59,-4.14,-0.51,1.1,-21.11,9.59,1.51,2026-06-30,2,77.5,29.4,3.75,28.87,83.9,7.64,3.08,2
