rank,code,name,industry,pb_sel,pb_now,mcap_yi,ret_sel_pct,mom20_pct,mom60_pct,mom120_pct,px_vs_ma60_pct,px_vs_ma20_pct,dist_hi52w_pct,dist_lo52w_pct,avg_amt20d_yi,fin_period,fin_quarter,netprofit_yoy_pct,revenue_yoy_pct,roe_pct,netmargin_pct,debt_assets_pct,netprofit_yi,div_yield_pct,div_count
103,000035,中国天楹,环保行业,1.06,1.07,115.3,0.63,0.96,-2.7,-39.28,1.69,2.46,-41.55,11.7,1.33,2026-06-30,2,1.1,3.5,1.98,7.94,66.5,2.13,0.75,1
104,301039,中集车辆,汽车整车,1.06,1.04,147.1,-1.63,-1.38,2.35,-15.68,3.05,-1.92,-25.87,15.44,1.17,2026-06-30,2,-17.0,10.1,2.28,3.11,38.4,3.34,4.46,2
105,600729,重百集团,商业百货,1.07,1.08,86.0,1.56,0.88,1.36,-13.62,1.64,0.66,-32.73,9.24,0.73,2026-06-30,2,-42.3,-5.7,5.53,5.88,59.0,4.46,4.87,2
106,603299,苏盐井神,化学原料,1.07,1.06,85.3,-0.56,-1.65,-6.63,-25.03,-2.44,-0.52,-25.82,2.29,0.52,2026-06-30,2,-49.2,-7.1,2.44,7.98,40.3,1.75,2.82,1
107,002705,新宝股份,家电行业,1.08,1.08,90.5,-0.45,-7.55,-4.32,-18.15,-2.38,-2.17,-39.58,3.53,0.59,2026-06-30,2,-74.9,-4.9,1.58,1.84,45.0,1.36,4.04,2
108,601107,四川成渝,铁路公路,1.08,1.05,177.1,-2.69,4.7,4.91,-4.17,4.86,1.78,-7.37,18.65,0.55,2026-06-30,2,1.9,12.7,4.6,18.19,67.4,8.99,5.13,1
109,600167,联美控股,公用事业,1.09,1.13,131.2,3.94,0.35,0.35,-14.2,1.19,1.92,-45.08,8.41,0.44,2026-06-30,2,-36.4,-8.6,2.86,19.23,20.6,3.34,2.59,1
110,600216,浙江医药,化学制药,1.09,1.07,121.9,-1.93,3.34,10.64,-27.46,3.13,-3.46,-29.95,15.16,5.49,2026-06-30,2,-10.0,1.5,5.37,13.82,18.5,6.06,2.21,1
111,600258,首旅酒店,旅游酒店,1.09,1.11,133.4,1.7,0.17,-0.8,-26.99,0.5,-1.37,-31.01,9.43,2.09,2026-06-30,2,11.0,-2.2,3.59,12.31,48.9,4.41,3.77,1
112,600409,三友化工,化学原料,1.1,1.06,148.0,-3.5,5.91,20.69,-17.0,10.38,2.98,-21.54,33.99,2.19,2026-06-30,2,129.2,2.5,1.2,1.71,43.0,1.68,0.42,1
113,601003,柳钢股份,钢铁行业,1.1,1.08,99.3,-1.82,0.53,6.2,-30.88,3.47,0.45,-35.92,13.21,0.85,2026-06-30,2,-79.3,-5.0,0.82,0.23,63.0,0.76,2.65,1
114,000089,深圳机场,航空机场,1.11,1.13,136.2,1.68,2.31,7.62,-5.28,2.98,1.74,-8.79,10.12,0.94,2026-06-30,2,136.0,6.1,6.17,27.46,49.7,7.37,2.41,1
115,000600,建投能源,电力行业,1.11,0.96,134.5,-1.45,-14.65,-25.92,-25.18,-13.32,-6.86,-40.65,11.18,1.93,2026-06-30,2,-13.4,-7.9,6.28,7.59,58.9,7.77,4.29,2
116,002373,千方科技,互联网服务,1.11,1.07,122.5,-3.37,-1.02,7.34,-26.46,2.63,0.19,-42.5,11.99,1.27,2026-06-30,2,-112.3,-0.8,-0.18,-0.64,33.7,-0.21,0.67,2
117,000923,河钢资源,钢铁行业,1.12,1.1,106.5,-2.57,10.8,22.45,-18.94,13.86,3.88,-36.83,33.36,2.81,2026-06-30,2,-149.2,-24.8,-1.26,-6.08,25.1,-1.29,3.68,1
118,600325,华发股份,房地产开发,1.12,1.23,72.4,9.13,6.91,1.54,-34.9,8.14,8.3,-53.94,16.89,2.2,2026-06-30,2,-2225.7,-50.2,-47.64,-19.2,68.7,-36.54,0.76,1
119,600575,淮河能源,电力行业,1.12,1.11,235.8,-0.9,-2.37,-12.27,-12.31,-2.04,-1.39,-21.12,6.82,1.36,2026-06-30,2,-36.6,9.1,2.38,2.8,52.9,5.3,5.78,1
120,002053,云南能投,综合行业,1.13,1.14,86.8,1.18,-2.18,-9.41,-24.62,-0.9,0.48,-36.54,8.52,0.7,2026-06-30,2,-1.3,-24.5,4.07,25.52,54.3,3.07,1.38,1
121,002701,奥瑞金,包装材料,1.13,1.15,116.5,2.02,-5.99,1.34,-13.5,-2.36,-3.42,-28.68,6.81,1.14,2026-06-30,2,-15.5,18.4,7.59,5.5,65.9,7.63,2.64,1
122,688063,派能科技,电池,1.13,1.1,102.5,-2.75,-7.49,-21.93,-46.7,-11.18,-5.17,-49.89,2.55,2.23,2026-06-30,2,469.9,130.1,0.86,3.0,36.7,0.79,0.3,1
123,688232,新点软件,软件开发,1.13,1.13,59.0,0.0,-4.83,-0.54,-24.31,0.21,-0.72,-44.4,8.27,0.38,2026-06-30,2,-1.6,-14.6,-1.18,-11.04,16.1,-0.63,0.55,1
124,002572,索菲亚,装修建材,1.14,1.15,76.8,0.89,-2.09,-5.9,-35.36,-1.16,-1.94,-44.27,9.18,0.92,2026-06-30,2,-80.6,-25.8,0.85,1.83,43.2,0.62,10.04,1
125,600056,中国医药,医药商业,1.14,1.13,135.5,-0.98,-3.62,2.21,-13.71,-2.25,-3.02,-24.05,5.59,1.62,2026-06-30,2,-15.3,-0.7,2.08,1.47,62.7,2.49,1.05,2
126,600718,东软集团,互联网服务,1.14,1.12,97.2,-2.05,-1.93,5.05,-13.34,1.99,-0.98,-33.17,13.25,0.71,2026-06-30,2,-611.2,-6.3,-3.27,-6.57,53.8,-2.89,,0
127,601921,浙版传媒,文化传媒,1.14,1.15,167.3,0.67,5.31,2.38,-1.64,4.62,1.52,-12.41,12.56,0.77,2026-06-30,2,-4.5,-9.5,4.39,14.02,32.0,6.46,4.25,2
128,000860,顺鑫农业,酿酒行业,1.15,1.2,81.8,4.95,2.32,7.4,-21.94,4.97,3.97,-35.53,13.01,1.06,2026-06-30,2,-76.7,-17.2,0.6,1.06,45.8,0.4,,0
129,000913,钱江摩托,交运设备,1.15,1.13,59.0,-1.67,-2.44,0.72,-26.85,0.43,-1.75,-37.64,9.38,0.46,2026-06-30,2,-62.4,-11.3,1.88,3.71,48.6,1.01,9.82,2
