tradeDate,tradeCount,tradedSymbols,dailyReturn,winRate,averageWin,averageLoss,profitLossRatio,rollingMomentumTrades,tailMomentumTrades,nav,cumulativeReturn,drawdown
2026-06-16,757,459,-0.0006275707277152565,0.380449141347424,0.00631302520501983,-0.004889599786622888,1.2911128682333453,735,22,0.9993724292722848,-0.0006275707277152431,0
2026-06-17,788,480,-0.002153054392216294,0.3032994923857868,0.005403602567125663,-0.005442746583988115,0.9928080397904968,591,197,0.9972207260739803,-0.002779273926019732,-0.002153054392216247
2026-06-18,608,393,-0.002108447362957056,0.32730263157894735,0.004963648090130599,-0.005549393561403119,0.8944487420487764,567,41,0.9951181386638035,-0.004881861336196502,-0.004256962153317723
2026-06-22,1179,519,0.000532991409421453,0.4961832061068702,0.006274703016684354,-0.005121724567428319,1.225115277886753,1074,105,0.9956485280830707,-0.004351471916929306,-0.0037262396681542187
2026-06-23,357,252,-0.0023112711017586078,0.29971988795518206,0.007254703376499013,-0.0064055081784528565,1.1325726506606795,329,28,0.9933473144126038,-0.006652685587396179,-0.006028898419849549
2026-06-24,675,441,-0.0007894907103654133,0.37925925925925924,0.006897995680531285,-0.00548637977019724,1.2572946039940827,645,30,0.9925630759357086,-0.007436924064291417,-0.006813629370918894
2026-06-25,663,421,-0.00009225363600128942,0.40271493212669685,0.008336681273257996,-0.0057753991430018175,1.4434814056721503,617,46,0.9924715083829929,-0.007528491617007083,-0.006905254424836249
2026-06-26,535,350,-0.0034273200853736615,0.21869158878504674,0.007321730476721443,-0.0064360256254816315,1.1376167378409918,422,113,0.9890699908481508,-0.010930009151849163,-0.010308907993025085
2026-06-29,908,482,-0.001423161332613534,0.3634361233480176,0.006867501332338549,-0.006156584653433903,1.1154725743124678,858,50,0.9876623846819274,-0.012337615318072648,-0.011717398086401376
2026-06-30,774,468,-0.000042200003414947974,0.4043927648578811,0.006324515141439693,-0.004364937184194729,1.4489361185632912,658,116,0.987620705325921,-0.012379294674079055,-0.011759103615577082
2026-07-01,917,485,0.0014987441669640405,0.5278080697928026,0.006928212567816506,-0.004570222821517694,1.515946341871306,885,32,0.9891008960972011,-0.010899103902798912,-0.0102779833365656
2026-07-02,591,385,-0.0010199600456598091,0.3587140439932318,0.007201983084935017,-0.00561904169126953,1.2817102062305301,589,2,0.9880920527020556,-0.011907947297944421,-0.011287460249872261
2026-07-03,744,464,-0.0011909257961086822,0.3629032258064516,0.005687066486272918,-0.005108769501262712,1.113196922442336,717,27,0.9869153083875627,-0.013084691612437305,-0.012464943518396776
2026-07-06,597,364,0.00007246546418704144,0.4221105527638191,0.005595944329127502,-0.003962075619769435,1.4123769625207574,571,26,0.9869868256634984,-0.01301317433650162,-0.012393381332127862
2026-07-07,497,357,-0.003463599626781065,0.1710261569416499,0.005556436553494977,-0.005324529421255494,1.0435544841415865,291,206,0.9835682984624924,-0.016431701537507615,-0.01581405524795243
2026-07-08,576,373,-0.0013954962480869151,0.3645833333333333,0.005815674981735308,-0.0055330535110996405,1.0510787524589653,559,17,0.9821957325922508,-0.017804267407749208,-0.01718748304127382
2026-07-09,1585,567,0.0013900271667269114,0.5211356466876972,0.005739587928079693,-0.0033434869161155212,1.71664734215499,1312,273,0.9835610113435972,-0.01643898865640281,-0.015821346942901937
2026-07-10,620,443,-0.001182520158270674,0.3629032258064516,0.006936650041042951,-0.00580736394268979,1.1944576075302955,611,9,0.9823979306207943,-0.01760206937920572,-0.01698515803948164
2026-07-13,367,289,-0.00620571471028615,0.22343324250681199,0.0050768929337261055,-0.009451938664001965,0.5371271560470052,334,33,0.9763014493313861,-0.023698550668613927,-0.023085467704665796
2026-07-14,928,518,-0.0002917923618507477,0.42887931034482757,0.005268130238699428,-0.004466979522263842,1.179349538640725,839,89,0.9760165720256074,-0.023983427974392568,-0.023370523903370466
2026-07-15,660,443,-0.002538992675560363,0.2590909090909091,0.006393335064854486,-0.00566256740687109,1.1290523547846276,548,112,0.9735384730980089,-0.026461526901991106,-0.02585017898991615
2026-07-16,483,342,-0.0015011438371722152,0.34368530020703936,0.004213798755105044,-0.004493826708837895,0.9376860809558751,475,8,0.9720770518188677,-0.02792294818113228,-0.02731251799020784
