symbol,name,tradeCount,tradedDays,averageTradeReturn,winRate,averageWin,averageLoss,profitLossRatio,compoundedSignalReturn,rollingMomentumTrades,tailMomentumTrades
300580,贝斯特,21,11,0.005554931895952157,0.5238095238095238,0.016788321348492417,-0.0068017965018421275,2.4682187042710915,0.12024127799263207,21,0
300145,南方泵业,19,10,0.005530951958505094,0.5263157894736842,0.01830235259387525,-0.008659493191906188,2.1135593259640184,0.10092235607684086,18,1
300976,达瑞电子,17,10,0.005390638614304137,0.6470588235294118,0.011701556469997184,-0.00617937745446645,1.8936464969524245,0.09455242338553771,17,0
300304,云意电气,20,12,0.0039754098068137626,0.4,0.017525484051101742,-0.005057973022711558,3.464922405162692,0.08039963107835835,19,1
002993,奥海科技,18,12,0.004356836061376244,0.5,0.012957607320248064,-0.004243935197495576,3.0532057435501336,0.08023192274893343,14,4
002497,雅化集团,26,13,0.002969885240240696,0.5384615384615384,0.011128352313640575,-0.006548326345392495,1.6994193213156912,0.07824320385851524,25,1
688332,中科蓝讯,16,10,0.0048568946676689345,0.5625,0.01619465981404449,-0.00972023194909964,1.6660775070850609,0.07787697566987584,14,2
600770,综艺股份,7,5,0.010682525639971139,0.7142857142857143,0.016929576948377156,-0.0049351026310439075,3.4304407048969705,0.07528705376009626,6,1
002940,昂利康,21,13,0.0033207149696781865,0.6190476190476191,0.009017430070372368,-0.005936447068949856,1.5189944365102426,0.07108594460079498,18,3
002487,大金重工,20,12,0.0034820374939614094,0.45,0.01306948624926131,-0.0043622387603748725,2.996050185968769,0.07054799773488729,20,0
001696,宗申动力,26,13,0.0024790578969600386,0.5384615384615384,0.010283709121284592,-0.006626368531418607,1.5519373956526687,0.06479002407300105,23,3
000612,焦作万方,22,11,0.0028597066367541213,0.6363636363636364,0.006649117398994875,-0.0037717621971671967,1.762867607079983,0.06421850998308254,19,3
689009,九号公司-WD,23,16,0.0026939180114432526,0.43478260869565216,0.011584546427913867,-0.004145026924303374,2.794806074718273,0.0620312333340125,21,2
300041,回天新材,21,11,0.002806089183882598,0.6190476190476191,0.008513264194439062,-0.006468070208271656,1.3161984827486752,0.059115112390840885,19,2
300088,长信科技,7,5,0.008375530341149589,0.5714285714285714,0.018386863517269647,-0.004972913893677155,3.6974023500884963,0.058408697704564805,6,1
601319,中国人保,23,12,0.002412565746075266,0.4782608695652174,0.007657152805925443,-0.002394972392120729,3.1971779011385992,0.056323423203173295,20,3
000661,长春高新,17,7,0.003202066885675977,0.5882352941176471,0.008422977317072445,-0.004256376587747547,1.978907914614257,0.055245499910655305,15,2
002979,雷赛智能,8,3,0.006606442826570261,0.875,0.00982169752385788,-0.015900340054443074,0.6177036145282552,0.05355384394769436,8,0
000630,铜陵有色,22,11,0.0023167949903292444,0.7727272727272727,0.0042517296862665055,-0.004261982975857448,0.9975942443578438,0.051919251444775716,17,5
002057,中钢天源,14,6,0.0037420268507919463,0.5,0.014959742475122868,-0.0074756887735389745,2.001118950814877,0.05168505850464289,12,2
002913,奥士康,23,12,0.002206008929244125,0.6086956521739131,0.005722094890438575,-0.003263458121502798,1.753383888316481,0.05154188120651759,22,1
601168,西部矿业,28,13,0.0018214075953392316,0.5,0.00785797401199438,-0.004215158821315916,1.864217778048331,0.05147420646434764,26,2
001400,江顺科技,8,6,0.006491291167991714,0.375,0.02654317137241206,-0.005539836954660493,4.791327179779563,0.05107910434080454,8,0
000021,深科技,16,7,0.003082068309899731,0.6875,0.008555458435921507,-0.008959389967348175,0.9549152863198537,0.049462690195964276,15,1
603444,吉比特,22,13,0.002215989223318797,0.5,0.007900921262383741,-0.003468942815746147,2.277616461856926,0.04922374341817903,19,3
301282,金禄电子,2,2,0.023162540942438747,1,0.023162540942438747,,,0.046836412289323004,2,0
002245,蔚蓝锂芯,18,9,0.002621529412911303,0.4444444444444444,0.012989522919102381,-0.00567286539204156,2.2897639942815022,0.046730704634581954,18,0
600779,水井坊,1,1,0.045657388044045066,1,0.045657388044045066,,,0.04565738804404518,1,0
000975,山金国际,32,16,0.0014195466518367313,0.53125,0.007451946475080923,-0.005417173147840019,1.3756153387957013,0.04533938183285713,29,3
002606,大连电瓷,30,16,0.0014913450522883107,0.5,0.005533733041036408,-0.0025510429364597868,2.1692041956439403,0.04513307670905098,26,4
000672,上峰材料,24,13,0.0019348867440925944,0.4166666666666667,0.014892954076712428,-0.007320875636350144,2.0343132183211594,0.04474055221784967,24,0
601666,平煤股份,10,6,0.004438735375515779,0.7,0.00933149440601663,-0.006977702362319538,1.3373305310939976,0.04468357525217814,8,2
688372,伟测科技,1,1,0.044179946727962105,1,0.044179946727962105,,,0.044179946727961994,1,0
002957,科瑞技术,8,4,0.005503450033660956,0.5,0.017770616493922087,-0.006763716426600175,2.6273449939495173,0.04412223891908651,8,0
600667,太极实业,3,2,0.01452979526231087,0.3333333333333333,0.0441370298247411,-0.0002738220189042453,161.18875319583296,0.04356525930555,3,0
600362,江西铜业,20,13,0.0021348389052212873,0.5,0.00774358286037462,-0.003473905049932046,2.2290715345044028,0.04312891251698914,17,3
603341,龙旗科技,24,13,0.001778772258575127,0.4583333333333333,0.007833115773237894,-0.0033441337922933685,2.342345210974957,0.042875143052272024,22,2
603360,百傲化学,17,12,0.002484901456963947,0.47058823529411764,0.012918222238587296,-0.006789161460034585,1.9027713974151805,0.04147118860752719,14,3
