tradeDate,symbol,name,level1Code,level1Name,dayStartBenchmarkWeightPct,dayStartTargetWeightPct,dayStartActiveWeightPct,intradayBenchmarkContribution,intradayEnhancedContribution,intradayExcessContribution,minuteCount
2026-07-01,300502,新易盛,730000,通信,2.9917606591472667,2.7979704141150683,-0.19379024503219844,-0.00161212156460579,-0.0015076969569516154,0.00010442460765417436,240
2026-07-01,300059,东方财富,490000,非银金融,0.9119270458363328,0.7268129507931329,-0.18511409504319987,0.0005028244887783891,0.0004007550297895874,-0.0001020694589888024,240
2026-07-01,300308,中际旭创,730000,通信,5.007599392048634,4.740956345133104,-0.2666430469155303,-0.0015743390486405394,-0.0014905091477354945,0.00008382990090504706,240
2026-07-01,688256,寒武纪,270000,电子,1.771858251339892,1.6301123391301922,-0.1417459122096998,-0.0008471872076509972,-0.0007794135449045161,0.00006777366274648072,240
2026-07-01,600150,中国船舶,650000,国防军工,0.5389568834493239,0.6948497192035619,0.15589283575423796,0.00022148361249414207,0.0002855475654467929,0.0000640639529526503,240
2026-07-01,002371,北方华创,270000,电子,1.3538916886649064,1.459434745895428,0.1055430572305216,0.0007847650399131534,0.0008459416482146229,0.00006117660830146832,240
2026-07-01,600276,恒瑞医药,370000,医药生物,0.8219342452603787,0.7015240181216021,-0.12041022713877658,0.0003429074516274503,0.00029267281987176743,-0.00005023463175568306,240
2026-07-01,600999,招商证券,490000,非银金融,0.2769778417726581,0.33462423304712086,0.05764639127446275,0.00023157089174012413,0.0002797668995781245,0.000048196007838000374,240
2026-07-01,300274,阳光电源,630000,电力设备,0.8159347252219818,0.7724880945744035,-0.043446630647578366,-0.000748343048034518,-0.0007084955173428997,0.00003984753069161657,240
2026-07-01,300750,宁德时代,630000,电力设备,3.6747060235181173,3.9152546608544174,0.24054863733630016,-0.0005706399489302825,-0.0006079944097351284,-0.000037354460804844974,240
2026-07-01,600522,中天科技,730000,通信,0.5859531237500997,0.6325580731930437,0.04660494944294402,-0.00046724639594525433,-0.0005044097692217036,-0.00003716337327644917,240
2026-07-01,000725,京东方Ａ,270000,电子,1.1159107271418283,1.220668979167806,0.10475825202597777,0.00037980591720689164,0.0004154609234972474,0.00003565500629035562,240
2026-07-01,002837,英维克,640000,机械设备,0.21498280137588985,0.15770546679402128,-0.057277334581868566,-0.0001333353087269618,-0.0000978111131138543,0.000035524195613107385,240
2026-07-01,601628,中国人寿,490000,非银金融,0.20798336133109344,0.17120727161987678,-0.03677608971121665,0.00020011672645279751,0.00016473163296434635,-0.00003538509348845123,240
2026-07-01,000333,美的集团,330000,家用电器,1.2988960883129346,1.4786511885628015,0.17975510024986696,0.0002393764336701684,0.0002725038987684158,0.00003312746509824734,240
2026-07-01,002714,牧原股份,110000,农林牧渔,0.33797296216302686,0.2807828152287862,-0.05719014693424068,0.0001886262223839285,0.00015670780706233815,-0.00003191841532159034,240
2026-07-01,002475,立讯精密,270000,电子,1.2698984081273492,1.3199369990544751,0.050038590927125925,-0.0007662481709403607,-0.0007964411206511057,-0.000030192949710744226,240
2026-07-01,300476,胜宏科技,270000,电子,0.7479401647868167,0.6884316441228577,-0.05950852066395895,-0.0003544099427803521,-0.00032621194995098113,0.00002819799282937083,240
2026-07-01,600160,巨化股份,220000,基础化工,0.2529797616190704,0.2017625943770516,-0.051217167242018774,0.00013414210525930896,0.0001069842860120611,-0.000027157819247247645,240
2026-07-01,603986,兆易创新,270000,电子,1.9248460123190136,1.849618795231381,-0.07522721708763269,-0.0006935971501075494,-0.0006664898474721347,0.0000271073026354154,240
2026-07-01,000988,华工科技,640000,机械设备,0.655947524198064,0.6100092629341803,-0.04593826126388367,-0.00037834078141728273,-0.000351844275184139,0.000026496506233143467,240
2026-07-01,002415,海康威视,710000,计算机,0.442964562834973,0.5529524499381172,0.10998788710314422,-0.000099796851900583,-0.00012457636204884684,-0.000024779510148263972,240
2026-07-01,601318,中国平安,490000,非银金融,1.7988560915126783,1.738043612766869,-0.060812478745809306,0.0007208877716614534,0.0006965172995046663,-0.000024370472156786734,240
2026-07-01,688041,海光信息,270000,电子,1.2169026477881766,1.1676853880461264,-0.04921725974205016,-0.0006002904068815916,-0.0005760118428322394,0.000024278564049352808,240
2026-07-01,688506,百利天恒,370000,医药生物,0.08599312055035593,0.0616123315736432,-0.024380788976712732,0.000081494323897878,0.000058389034765004236,-0.000023105289132873737,240
2026-07-01,300394,天孚通信,730000,通信,0.6999440044796413,0.6626736105417677,-0.03727039393787368,-0.00037700984779185065,-0.00035693494829170243,0.00002007489950014822,240
2026-07-01,600176,中国巨石,610000,建筑材料,0.6189504839612828,0.5778460679741179,-0.041104415987164966,-0.00030199767188771444,-0.0002819420482892289,0.00002005562359848554,240
