tradeDate,enhancedCumulativeReturn,constituentBenchmarkCumulativeReturn,officialIndexCumulativeReturn,constituentExcessReturn,officialIndexExcessReturn,activeShare
2026-07-01,-0.002303100370189437,-0.0025988398088546694,-0.0027570590565669795,0.00029573943866523233,0.00045395868637754244,0.03818582142717214
2026-07-02,-0.031043464968447343,-0.03195052227448658,-0.03225417228904259,0.0009070573060392384,0.00121070732059525,0.03848219009704126
2026-07-03,-0.02471831841365113,-0.025820760209988025,-0.026247363097236964,0.0011024417963368949,0.001529044683585834,0.038522944297758425
2026-07-06,-0.02459245900620366,-0.02586694495214059,-0.026281549825144856,0.0012744859459369318,0.0016890908189411968,0.038605052577910526
2026-07-07,-0.034659091444280365,-0.03586891568219708,-0.03628418421417767,0.0012098242379167123,0.0016250927698973072,0.03853393924900041
2026-07-08,-0.0338185998804158,-0.034875666468962896,-0.04367052842626418,0.0010570665885470953,0.009851928545848376,0.0385243978789278
2026-07-09,-0.01808403360474964,-0.018925238047247994,-0.019381863739746374,0.0008412044424983556,0.0012978301349967358,0.0383461274004886
2026-07-10,-0.03743994785410798,-0.03849304437389234,-0.03859078285595918,0.0010530965197843578,0.0011508350018512026,0.03859505463630145
2026-07-13,-0.054587198839398554,-0.05564024122438871,-0.055766597153653175,0.001053042384990155,0.0011793983142546205,0.038681900037585384
2026-07-14,-0.034451104898905016,-0.03532443737842095,-0.03543152700047647,0.0008733324795159314,0.0009804221015714543,0.038498154661683485
2026-07-15,-0.03614810866907903,-0.037257615592289794,-0.037386203443206756,0.001109506923210768,0.0012380947741277293,0.0386548294946163
2026-07-16,-0.05387072647793745,-0.05507221093472825,-0.0408209641059466,0.0012014844567908023,-0.013049762371990847,0.03871752776500548
