instrumentKey,market,symbol,name,industry,tradeDate,open,high,low,close,previousClose,volume,amount,turnoverRatePct,totalMarketCap,floatMarketCap,peTtm,pb,psTtm,volumeRatio,year
880,SZ,000827,*ST长兴,装修建材,2000-01-04,15.41,15.84,15.21,15.8,15.4,110955,1730962.85,0.494095,948000000,354807960,41.412413,6.438144,10.008892,0.92,2000
881,SZ,000828,东莞控股,铁路公路,2000-01-04,7.6,8.36,7.6,8.29,7.6,3211600,26066566.6,1.556267,8046021984,1710770824,39.465452,3.221714,2.975098,1.39,2000
882,SZ,000829,天音控股,贸易行业,2000-01-04,18.18,19.02,17.5,19.02,18.99,75350,1427364.5,0.302054,1426500000,474469914.84,57.17829,5.818044,7.887787,0.4,2000
883,SZ,000830,鲁西化工,化学原料,2000-01-04,12.8,12.99,12.63,12.94,12.79,291770,3759736.1,0.583945,2588000000,646550982,27.529824,3.970292,3.939791,1.73,2000
884,SZ,000831,中国稀土,小金属,2000-01-04,6.99,7.2,6.92,7.18,6.98,365920,2589555.6,0.488271,1543700000,538083129.2,32.584977,2.817175,3.563137,1.48,2000
885,SZ,000832,*ST龙涤,化学原料,2000-01-04,7.64,7.78,7.45,7.74,7.65,273023,2088392.84,0.325027,2459748160.8,650160000,22.800453,2.834607,3.088826,1.03,2000
886,SZ,000833,粤桂股份,综合行业,2000-01-04,5.81,5.97,5.79,5.94,5.76,244191,1436979.39,0.305239,1500969690,475200000,29.519828,2.526968,3.202894,1.25,2000
887,SZ,000835,长动退,互联网服务,2000-01-04,29.8,30.98,29.75,30.14,28.9,209850,6392880.12,1.608662,1627560000,393176300,116.919913,12.455796,15.736318,1.61,2000
888,SZ,000836,ST富通,通信设备,2000-01-04,31,32.48,30.71,32.09,30.47,1932005,61779959.44,4.953859,3297393573.68,1251510000,74.015542,9.897819,10.100204,3.65,2000
889,SZ,000837,秦川机床,通用设备,2000-01-04,11.21,11.43,10.89,11.34,10.9,408233,4591797.08,0.743201,1256131800,622894860,37.29247,3.775489,11.381408,1.34,2000
890,SZ,000838,*ST发展,房地产开发,2000-01-04,12.18,12.44,12,12.35,12.08,108124,1326054.44,0.616091,804230271,216742500,68.224276,7.34653,8.622751,1.3,2000
891,SZ,000839,国安股份,综合行业,2000-01-04,25.72,28.05,25.66,28.01,25.5,6511920,180421970.67,6.521703,11204000000,2796798500,75.291428,13.159442,28.23904,9.27,2000
