signalMonth,previousSignalMonth,action,indexCode,industryName,previousRank,currentRank,previousEqualWeight,currentEqualWeight,previousMarketCapWeight,currentMarketCapWeight
2023-04-01,2023-03-01,ADD,801780,银行,,3,0,0.2,0,0.37437239492716856
2023-04-01,2023-03-01,REMOVE,801760,传媒,5,,0.2,0,0.09519356617301851,0
2023-04-01,2023-03-01,REWEIGHT,801720,建筑装饰,1,1,0.2,0.2,0.12037653375997641,0.08496493787587467
2023-04-01,2023-03-01,REWEIGHT,801960,石油石化,3,2,0.2,0.2,0.2043148469231712,0.14858999100800124
2023-04-01,2023-03-01,REWEIGHT,801770,通信,2,4,0.2,0.2,0.22915590797188984,0.15454215723552192
2023-04-01,2023-03-01,REWEIGHT,801790,非银金融,4,5,0.2,0.2,0.35095914517194393,0.2375305189534336
2023-05-01,2023-04-01,REWEIGHT,801780,银行,3,1,0.2,0.2,0.37437239492716856,0.38700956551868554
2023-05-01,2023-04-01,REWEIGHT,801720,建筑装饰,1,2,0.2,0.2,0.08496493787587467,0.07933560533777469
2023-05-01,2023-04-01,REWEIGHT,801960,石油石化,2,3,0.2,0.2,0.14858999100800124,0.1435871349985373
2023-05-01,2023-04-01,REWEIGHT,801770,通信,4,4,0.2,0.2,0.15454215723552192,0.15467413711078545
2023-05-01,2023-04-01,REWEIGHT,801790,非银金融,5,5,0.2,0.2,0.2375305189534336,0.23539355703421705
2023-06-01,2023-05-01,ADD,801110,家用电器,,4,0,0.2,0,0.078969664221285
2023-06-01,2023-05-01,REMOVE,801790,非银金融,5,,0.2,0,0.23539355703421705,0
2023-06-01,2023-05-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.38700956551868554,0.46209812265586586
2023-06-01,2023-05-01,REWEIGHT,801770,通信,4,2,0.2,0.2,0.15467413711078545,0.1903690698139918
2023-06-01,2023-05-01,REWEIGHT,801960,石油石化,3,3,0.2,0.2,0.1435871349985373,0.1742361939403966
2023-06-01,2023-05-01,REWEIGHT,801720,建筑装饰,2,5,0.2,0.2,0.07933560533777469,0.09432694936846069
2023-07-01,2023-06-01,ADD,801790,非银金融,,1,0,0.2,0,0.2842991861700958
2023-07-01,2023-06-01,ADD,801180,房地产,,2,0,0.2,0,0.06724590036176718
2023-07-01,2023-06-01,ADD,801040,钢铁,,5,0,0.2,0,0.03921630205505564
2023-07-01,2023-06-01,REMOVE,801960,石油石化,3,,0.2,0,0.1742361939403966,0
2023-07-01,2023-06-01,REMOVE,801110,家用电器,4,,0.2,0,0.078969664221285,0
2023-07-01,2023-06-01,REMOVE,801720,建筑装饰,5,,0.2,0,0.09432694936846069,0
2023-07-01,2023-06-01,REWEIGHT,801770,通信,2,3,0.2,0.2,0.1903690698139918,0.1734734597439129
2023-07-01,2023-06-01,REWEIGHT,801780,银行,1,4,0.2,0.2,0.46209812265586586,0.43576515166916846
2023-08-01,2023-07-01,ADD,801960,石油石化,,2,0,0.2,0,0.16715223745074215
2023-08-01,2023-07-01,ADD,801110,家用电器,,3,0,0.2,0,0.06882321517549453
2023-08-01,2023-07-01,REMOVE,801770,通信,3,,0.2,0,0.1734734597439129,0
2023-08-01,2023-07-01,REMOVE,801040,钢铁,5,,0.2,0,0.03921630205505564,0
2023-08-01,2023-07-01,REWEIGHT,801790,非银金融,1,1,0.2,0.2,0.2842991861700958,0.2757087291419442
2023-08-01,2023-07-01,REWEIGHT,801180,房地产,2,4,0.2,0.2,0.06724590036176718,0.06444937702808876
2023-08-01,2023-07-01,REWEIGHT,801780,银行,4,5,0.2,0.2,0.43576515166916846,0.4238664412037304
2023-09-01,2023-08-01,ADD,801950,煤炭,,3,0,0.2,0,0.0732848289991202
2023-09-01,2023-08-01,ADD,801040,钢铁,,5,0,0.2,0,0.03778972626747524
2023-09-01,2023-08-01,REMOVE,801110,家用电器,3,,0.2,0,0.06882321517549453,0
2023-09-01,2023-08-01,REMOVE,801180,房地产,4,,0.2,0,0.06444937702808876,0
2023-09-01,2023-08-01,REWEIGHT,801960,石油石化,2,1,0.2,0.2,0.16715223745074215,0.175956862371536
2023-09-01,2023-08-01,REWEIGHT,801780,银行,5,2,0.2,0.2,0.4238664412037304,0.4395450916696375
2023-09-01,2023-08-01,REWEIGHT,801790,非银金融,1,4,0.2,0.2,0.2757087291419442,0.27342349069223093
2023-10-01,2023-09-01,REWEIGHT,801950,煤炭,3,1,0.2,0.2,0.0732848289991202,0.07342432955250164
2023-10-01,2023-09-01,REWEIGHT,801780,银行,2,2,0.2,0.2,0.4395450916696375,0.44660966145935893
2023-10-01,2023-09-01,REWEIGHT,801040,钢铁,5,3,0.2,0.2,0.03778972626747524,0.03882942679135794
2023-10-01,2023-09-01,REWEIGHT,801960,石油石化,1,4,0.2,0.2,0.175956862371536,0.16651829956087102
2023-10-01,2023-09-01,REWEIGHT,801790,非银金融,4,5,0.2,0.2,0.27342349069223093,0.2746182826359104
2023-11-01,2023-10-01,ADD,801880,汽车,,5,0,0.2,0,0.19052849204772285
2023-11-01,2023-10-01,REMOVE,801790,非银金融,5,,0.2,0,0.2746182826359104,0
2023-11-01,2023-10-01,REWEIGHT,801950,煤炭,1,1,0.2,0.2,0.07342432955250164,0.08658453487602852
2023-11-01,2023-10-01,REWEIGHT,801960,石油石化,4,2,0.2,0.2,0.16651829956087102,0.18537159266638947
2023-11-01,2023-10-01,REWEIGHT,801780,银行,2,3,0.2,0.2,0.44660966145935893,0.49521735151987484
2023-11-01,2023-10-01,REWEIGHT,801040,钢铁,3,4,0.2,0.2,0.03882942679135794,0.04229802888998445
2023-12-01,2023-11-01,ADD,801130,纺织服饰,,4,0,0.2,0,0.03364779186532595
2023-12-01,2023-11-01,ADD,801160,公用事业,,5,0,0.2,0,0.1614225412085909
2023-12-01,2023-11-01,REMOVE,801040,钢铁,4,,0.2,0,0.04229802888998445,0
2023-12-01,2023-11-01,REMOVE,801880,汽车,5,,0.2,0,0.19052849204772285,0
2023-12-01,2023-11-01,REWEIGHT,801950,煤炭,1,1,0.2,0.2,0.08658453487602852,0.09135153806933854
2023-12-01,2023-11-01,REWEIGHT,801960,石油石化,2,2,0.2,0.2,0.18537159266638947,0.19571644452159948
2023-12-01,2023-11-01,REWEIGHT,801780,银行,3,3,0.2,0.2,0.49521735151987484,0.517861684335145
2024-01-01,2023-12-01,ADD,801170,交通运输,,4,0,0.2,0,0.1322870391081593
2024-01-01,2023-12-01,ADD,801720,建筑装饰,,5,0,0.2,0,0.08291417604230569
2024-01-01,2023-12-01,REMOVE,801130,纺织服饰,4,,0.2,0,0.03364779186532595,0
2024-01-01,2023-12-01,REMOVE,801160,公用事业,5,,0.2,0,0.1614225412085909,0
2024-01-01,2023-12-01,REWEIGHT,801780,银行,3,1,0.2,0.2,0.517861684335145,0.5006185412649233
2024-01-01,2023-12-01,REWEIGHT,801950,煤炭,1,2,0.2,0.2,0.09135153806933854,0.09187369603206341
2024-01-01,2023-12-01,REWEIGHT,801960,石油石化,2,3,0.2,0.2,0.19571644452159948,0.19230654755254822
2024-02-01,2024-01-01,ADD,801110,家用电器,,4,0,0.2,0,0.07394918778751856
2024-02-01,2024-01-01,REMOVE,801720,建筑装饰,5,,0.2,0,0.08291417604230569,0
