tradeDate,symbol,name,market,signalType,signalTime,entryTime,exitTime,entryPrice,exitPrice,grossReturn,netReturn,momentum5,momentum15,momentum30,rollingAmplitude30,intradayAmplitude,tailMomentum,averageAmount20,totalMarketCap,floatMarketCap,peTtm,pb,filterDataDate,roundTripCostBps
2026-06-23,603155,新亚强,SH,ROLLING_MOMENTUM,2026-06-23 13:15:00,2026-06-23 13:16:00,2026-06-23 13:30:00,21.329999923706055,21.270000457763672,-0.002812914493998675,-0.003812914493998675,0.0042372953652416445,0.006606861072203429,0.007082134861613687,0.010885066669194199,0.06046066313129894,0.011379789918527505,325330831.4,6896783712,6896783712,73.246539,3.175997,2026-06-22,10
2026-06-25,603155,新亚强,SH,ROLLING_MOMENTUM,2026-06-25 13:15:00,2026-06-25 13:16:00,2026-06-25 13:30:00,22.959999084472656,23.290000915527344,0.014372902622538097,0.013372902622538096,0.011008366802222058,0.015030867932133152,0.014582409895894877,0.017256609870157646,0.03685612374931879,-0.007778751509228798,351656061.6,7199939040,7199939040,76.466167,3.315601,2026-06-24,10
2026-06-25,603155,新亚强,SH,ROLLING_MOMENTUM,2026-06-25 13:30:00,2026-06-25 13:31:00,2026-06-25 13:45:00,23.299999237060547,23.1299991607666,-0.007296140852380173,-0.008296140852380174,0.006482347875342187,0.014372902622538097,0.02961980775579187,0.030959700871053375,0.03685612374931879,0.006482347875342187,351656061.6,7199939040,7199939040,76.466167,3.315601,2026-06-24,10
