tradeDate,symbol,name,market,signalType,signalTime,entryTime,exitTime,entryPrice,exitPrice,grossReturn,netReturn,momentum5,momentum15,momentum30,rollingAmplitude30,intradayAmplitude,tailMomentum,averageAmount20,totalMarketCap,floatMarketCap,peTtm,pb,filterDataDate,roundTripCostBps
2026-06-16,600482,中国动力,SH,ROLLING_MOMENTUM,2026-06-16 10:45:00,2026-06-16 10:46:00,2026-06-16 11:00:00,32.31999969482422,32.0099983215332,-0.009591626739422932,-0.010591626739422932,0.002794168120025642,0.008744496417675274,0.012856690349928313,0.01633674369027438,0.03354630232122502,0.028007611668675603,1519628679.15,72243646820.8,72243646820.8,38.938294,1.801073,2026-06-15,10
2026-06-18,600482,中国动力,SH,ROLLING_MOMENTUM,2026-06-18 14:15:00,2026-06-18 14:16:00,2026-06-18 14:30:00,33.09000015258789,33.04999923706055,-0.0012088520804740543,-0.0022088520804740544,0.00242491701386105,0.004861739536735188,0.009770983048067672,0.009768117396732112,0.07395901322388854,0.0006051575862442427,1521666539.75,72266329284.48,72266329284.48,38.950519,1.801638,2026-06-17,10
2026-06-22,600482,中国动力,SH,ROLLING_MOMENTUM,2026-06-22 10:45:00,2026-06-22 10:46:00,2026-06-22 11:00:00,35.119998931884766,34.630001068115234,-0.0139521036068333,-0.0149521036068333,0.007443410227931713,0.022965030982215806,0.021777004352676155,0.02771297540165607,0.05749181777542134,0.018229086469448097,1570633540.5,75101637244.48,75101637244.48,40.47871,1.872324,2026-06-18,10
2026-06-23,600482,中国动力,SH,ROLLING_MOMENTUM,2026-06-23 10:30:00,2026-06-23 10:31:00,2026-06-23 10:45:00,35.18000030517578,35.11000061035156,-0.001989758221062843,-0.002989758221062843,0.0034257136957982492,0.012676532786285222,0.010057537255507176,0.02202893685603491,0.04651158148692014,0.035651235949600624,1610237562.05,78934973606.4,78934973606.4,42.544823,1.967891,2026-06-22,10
2026-06-24,600482,中国动力,SH,ROLLING_MOMENTUM,2026-06-24 13:15:00,2026-06-24 13:16:00,2026-06-24 13:30:00,33.150001525878906,33.5,0.010558022866088423,0.009558022866088423,0.0042412363363972805,0.00974717261579694,0.017183227084046182,0.023055641811991823,0.04615384615384621,-0.0065926704539284176,1612463683.9,77528660858.24,77528660858.24,41.786841,1.932831,2026-06-23,10
2026-06-26,600482,中国动力,SH,ROLLING_MOMENTUM,2026-06-26 13:15:00,2026-06-26 13:16:00,2026-06-26 13:30:00,30.479999542236328,30.6299991607666,0.004921247401018514,0.003921247401018514,0.002961505574052392,0.005608712612646727,0.014647090988654243,0.016988681582446263,0.07861427629463025,0.009271482523950159,1573047311.5,73944831596.8,73944831596.8,39.855208,1.843484,2026-06-25,10
2026-06-29,600482,中国动力,SH,ROLLING_MOMENTUM,2026-06-29 13:45:00,2026-06-29 13:46:00,2026-06-29 14:00:00,30.1200008392334,30.989999771118164,0.02888442588459461,0.02788442588459461,0.01040273091368027,0.020677986791578284,0.023453451130804215,0.030272153351870168,0.04863745631405103,-0.022402553370155065,1556562322.6,68296898140.48,68296898140.48,36.811053,1.702678,2026-06-26,10
2026-06-30,600482,中国动力,SH,ROLLING_MOMENTUM,2026-06-30 10:30:00,2026-06-30 10:31:00,2026-06-30 10:45:00,32.279998779296875,32.27000045776367,-0.0003097373578470064,-0.0013097373578470064,0.004985972161150265,0.023809523809523725,0.02445998948413486,0.030534382172842545,0.07072046532750953,-0.018264794581155486,1556957258.3,70474414653.76,70474414653.76,37.984703,1.756965,2026-06-29,10
2026-06-30,600482,中国动力,SH,ROLLING_MOMENTUM,2026-06-30 11:15:00,2026-06-30 11:16:00,2026-06-30 11:30:00,32.61000061035156,33.349998474121094,0.022692359703134546,0.021692359703134545,0.012418551296132563,0.013047592468490743,0.010536106221408215,0.020976833597091682,0.07766028961317573,-0.00730587138256944,1556957258.3,70474414653.76,70474414653.76,37.984703,1.756965,2026-06-29,10
2026-07-07,600482,中国动力,SH,ROLLING_MOMENTUM,2026-07-07 13:30:00,2026-07-07 13:31:00,2026-07-07 13:45:00,34.400001525878906,34.52000045776367,0.003488340888429642,0.002488340888429642,0.007021587525649853,0.0055506464869958805,0.017440032691604213,0.024985133232447776,0.06870914475551149,-0.00548981329256093,1456625910.55,80341000000,80341000000,53.8,1.96,2026-07-06,10
2026-07-09,600482,中国动力,SH,TAIL_MOMENTUM,2026-07-09 14:45:00,2026-07-09 14:46:00,2026-07-09 15:00:00,33.65999984741211,33.650001525878906,-0.00029703866840546933,-0.0012970386684054694,-0.000296950462635448,0.017225738658077416,0.020618566240576452,0.022141325908654697,0.05705426829729898,0.017225738658077416,1404973172.05,76916000000,76916000000,51.51,1.88,2026-07-08,10
