tradeDate,symbol,name,market,signalType,signalTime,entryTime,exitTime,entryPrice,exitPrice,grossReturn,netReturn,momentum5,momentum15,momentum30,rollingAmplitude30,intradayAmplitude,tailMomentum,averageAmount20,totalMarketCap,floatMarketCap,peTtm,pb,filterDataDate,roundTripCostBps
2026-06-17,601186,中国铁建,SH,ROLLING_MOMENTUM,2026-06-17 13:45:00,2026-06-17 13:46:00,2026-06-17 14:00:00,6.340000152587891,6.409999847412109,0.011040961063012888,0.010040961063012888,0.011164301734341242,0.011164301734341242,0.012779540060870564,0.01757182949766345,0.01757182949766345,-0.02311242277662362,318737276.05,85958497695,72815544015,4.681168,0.313528,2026-06-16,10
2026-06-17,601186,中国铁建,SH,ROLLING_MOMENTUM,2026-06-17 14:00:00,2026-06-17 14:01:00,2026-06-17 14:15:00,6.420000076293945,6.510000228881836,0.014018715189773712,0.01301871518977371,0.004702152418976979,0.011040961063012888,0.022328527418098654,0.027113249890125868,0.028753965136958826,-0.012326645073559295,318737276.05,85958497695,72815544015,4.681168,0.313528,2026-06-16,10
2026-06-22,601186,中国铁建,SH,ROLLING_MOMENTUM,2026-06-22 13:30:00,2026-06-22 13:31:00,2026-06-22 13:45:00,6.360000133514404,6.349999904632568,-0.0015723629987268728,-0.002572362998726873,0.0031496033428162207,0.006319109373639442,0.01271858890162636,0.014308450418714536,0.025723525666604186,0.0015722880243325132,336011159.55,85551111450,72470446650,4.658982,0.312042,2026-06-18,10
2026-06-29,601186,中国铁建,SH,ROLLING_MOMENTUM,2026-06-29 10:30:00,2026-06-29 10:31:00,2026-06-29 10:45:00,6.059999942779541,6.050000190734863,-0.0016501241153628055,-0.0026501241153628055,0.0033112551411966784,0.015075402973339314,0.01677850738129516,0.020168128780337025,0.027072813600719225,0.0033112551411966784,332170307.6,81748839830,69249537910,4.451917,0.298173,2026-06-26,10
