tradeDate,symbol,name,market,signalType,signalTime,entryTime,exitTime,entryPrice,exitPrice,grossReturn,netReturn,momentum5,momentum15,momentum30,rollingAmplitude30,intradayAmplitude,tailMomentum,averageAmount20,totalMarketCap,floatMarketCap,peTtm,pb,filterDataDate,roundTripCostBps
2026-06-17,002142,宁波银行,SZ,ROLLING_MOMENTUM,2026-06-17 13:15:00,2026-06-17 13:16:00,2026-06-17 13:30:00,31.440000534057617,31.34000015258789,-0.0031806736568404936,-0.004180673656840494,0.004153388858914253,0.004474253293452746,0.00898878619821697,0.009955086042617856,0.02025069586649164,0.0038326681980282995,889670920.5,208541397211.36,208424443018.28,7.109446,0.957143,2026-06-16,10
2026-06-22,002142,宁波银行,SZ,ROLLING_MOMENTUM,2026-06-22 10:45:00,2026-06-22 10:46:00,2026-06-22 11:00:00,30.799999237060547,30.920000076293945,0.003896131240451739,0.002896131240451739,0.007853395789016115,0.011494202474604753,0.009836040559362269,0.013486837255162198,0.019860986416848858,-0.0006489441259478479,924692763.65,203258524577.76,203144533125.48,6.929346,0.932897,2026-06-18,10
2026-06-29,002142,宁波银行,SZ,ROLLING_MOMENTUM,2026-06-29 10:30:00,2026-06-29 10:31:00,2026-06-29 10:45:00,31.1200008392334,30.8799991607666,-0.0077121359895410135,-0.008712135989541014,0.0041962901883843,0.017331611771347344,0.015008189153228768,0.021304477668111055,0.02463054125479114,0.011378425840878226,1037023670.4,205569781354.96,205454493703.58,7.00814,0.943505,2026-06-26,10
2026-07-01,002142,宁波银行,SZ,ROLLING_MOMENTUM,2026-07-01 10:15:00,2026-07-01 10:16:00,2026-07-01 10:30:00,29.700000762939453,29.829999923706055,0.004377076007648473,0.0033770760076484727,0.0027017873035128925,0.004058195484337501,0.008149397789496415,0.013656524616843635,0.020143333110190786,-0.009011967912741725,1071827031.25,196060610614.48,195950655896.54,6.68396,0.89986,2026-06-30,10
2026-07-01,002142,宁波银行,SZ,ROLLING_MOMENTUM,2026-07-01 10:30:00,2026-07-01 10:31:00,2026-07-01 10:45:00,29.829999923706055,29.950000762939453,0.0040228239872717175,0.0030228239872717175,0.006749941566123185,0.004715371745710906,0.008792703130373836,0.019073550895804203,0.021509018131598,-0.004339090945899793,1071827031.25,196060610614.48,195950655896.54,6.68396,0.89986,2026-06-30,10
2026-07-08,002142,宁波银行,SZ,ROLLING_MOMENTUM,2026-07-08 10:15:00,2026-07-08 10:16:00,2026-07-08 10:30:00,31.270000457763672,31.219999313354492,-0.0015990132292039716,-0.0025990132292039716,0.0028864705486533193,0.008709692185924878,0.010992568678733328,0.015239925779152452,0.020534522636895813,0.009360907676321029,1110429402.9,204447000000,204319000000,6.79,0.88,2026-07-07,10
2026-07-14,002142,宁波银行,SZ,ROLLING_MOMENTUM,2026-07-14 10:45:00,2026-07-14 10:46:00,2026-07-14 11:00:00,31.770000457763672,31.950000762939453,0.0056657319037525244,0.004665731903752524,0.002840913880079343,0.008571443103608578,0.009212227437876974,0.01177215807483889,0.02227173898003998,-0.009663383902644318,1019715254.6,213032000000.00003,212898000000,7.08,0.92,2026-07-13,10
