tradeDate,symbol,name,market,signalType,signalTime,entryTime,exitTime,entryPrice,exitPrice,grossReturn,netReturn,momentum5,momentum15,momentum30,rollingAmplitude30,intradayAmplitude,tailMomentum,averageAmount20,totalMarketCap,floatMarketCap,peTtm,pb,filterDataDate,roundTripCostBps
2026-06-16,300735,光弘科技,SZ,ROLLING_MOMENTUM,2026-06-16 13:15:00,2026-06-16 13:16:00,2026-06-16 13:30:00,20.860000610351562,20.670000076293945,-0.009108366658595934,-0.010108366658595935,0.017064864825153014,0.021047493820489205,0.02254906864818995,0.0275184007589655,0.07617084503298144,0.004816974006127683,578212048.2,15211070855.98,15012010509.42,46.6808,3.079389,2026-06-15,10
2026-06-24,300735,光弘科技,SZ,ROLLING_MOMENTUM,2026-06-24 13:15:00,2026-06-24 13:16:00,2026-06-24 13:30:00,22.209999084472656,22.329999923706055,0.0054030096434039,0.0044030096434039,0.004068636610520926,0.006343425083112697,0.0086284569827062,0.015047875928582144,0.03870968309008038,-0.00581920623219756,641904893.05,17068325723.36,16844960329.44,52.380474,3.455379,2026-06-23,10
2026-06-29,300735,光弘科技,SZ,ROLLING_MOMENTUM,2026-06-29 13:30:00,2026-06-29 13:31:00,2026-06-29 13:45:00,20.829999923706055,21,0.008161309501517167,0.007161309501517167,0.005794343048685535,0.016593467856800048,0.010674396256155072,0.019559882816981178,0.0723716130572698,-0.009981035298639696,556211223,16653896951.3,16435954997.7,51.108646,3.37148,2026-06-26,10
2026-06-29,300735,光弘科技,SZ,ROLLING_MOMENTUM,2026-06-29 13:45:00,2026-06-29 13:46:00,2026-06-29 14:00:00,21.010000228881836,21.049999237060547,0.001903808079151137,0.0009038080791511369,0.0023865983407980185,0.008161309501517167,0.024890201785200183,0.02635436415614345,0.0723716130572698,-0.0019011841153402376,556211223,16653896951.3,16435954997.7,51.108646,3.37148,2026-06-26,10
2026-07-03,300735,光弘科技,SZ,ROLLING_MOMENTUM,2026-07-03 11:15:00,2026-07-03 11:16:00,2026-07-03 11:30:00,21.81999969482422,21.780000686645508,-0.0018331351392364414,-0.0028331351392364415,0.00691561156463516,0.019607846629224435,0.019607846629224435,0.025713004212396084,0.0363722463386249,-0.014440419540958982,521410824.7,16577150882.4,16360213269.6,50.873123,3.355944,2026-07-02,10
2026-07-07,300735,光弘科技,SZ,ROLLING_MOMENTUM,2026-07-07 13:45:00,2026-07-07 13:46:00,2026-07-07 14:00:00,22.489999771118164,22.3700008392334,-0.005335657319075149,-0.006335657319075149,0.008520203612467192,0.01124100730993094,0.014433905896391375,0.018535254604733487,0.050909129056063485,0.012151236098436602,535297043.15,18650000000,17458000000,68.98,3.38,2026-07-06,10
2026-07-08,300735,光弘科技,SZ,ROLLING_MOMENTUM,2026-07-08 13:15:00,2026-07-08 13:16:00,2026-07-08 13:30:00,22.270000457763672,22.31999969482422,0.0022451385735431373,0.0012451385735431373,0.004057716472027684,0.008605096680893709,0.019221971119512293,0.019679647490553398,0.06343277374655654,0.020155773504140218,542497924.3,18011000000,16860000000,66.61,3.27,2026-07-07,10
2026-07-15,300735,光弘科技,SZ,TAIL_MOMENTUM,2026-07-15 14:45:00,2026-07-15 14:46:00,2026-07-15 15:00:00,21.440000534057617,21.459999084472656,0.0009327681864219617,-0.00006723181357803833,0.007996240567438972,0.008945411304381423,0.014678004432959746,0.01609840112352945,0.06841338212789405,0.008945411304381423,613029221.05,17841000000,16701000000,65.99,3.23,2026-07-14,10
