tradeDate,symbol,name,market,signalType,signalTime,entryTime,exitTime,entryPrice,exitPrice,grossReturn,netReturn,momentum5,momentum15,momentum30,rollingAmplitude30,intradayAmplitude,tailMomentum,averageAmount20,totalMarketCap,floatMarketCap,peTtm,pb,filterDataDate,roundTripCostBps
2026-06-16,603305,旭升集团,SH,ROLLING_MOMENTUM,2026-06-16 10:45:00,2026-06-16 10:46:00,2026-06-16 11:00:00,14.319999694824219,14.15999984741211,-0.01117317394007622,-0.01217317394007622,0.009887030002217134,0.012031144721662335,0.01851853487095889,0.022079802026992557,0.04212054498364548,0.004919230551678089,578408790.5,16087463099.52,16087463099.52,40.921653,2.345404,2026-06-15,10
2026-06-16,603305,旭升集团,SH,ROLLING_MOMENTUM,2026-06-16 13:15:00,2026-06-16 13:16:00,2026-06-16 13:30:00,14.3100004196167,14.199999809265137,-0.007686974641927247,-0.008686974641927248,0.0028030806285830323,0.012022635938210735,0.009880052404302342,0.0163120238307648,0.04212054498364548,0.005621987347428803,578408790.5,16087463099.52,16087463099.52,40.921653,2.345404,2026-06-15,10
2026-06-22,603305,旭升集团,SH,ROLLING_MOMENTUM,2026-06-22 13:15:00,2026-06-22 13:16:00,2026-06-22 13:30:00,13.270000457763672,13.289999961853027,0.001507121582475568,0.0005071215824755679,0.0030257156615032255,0.004545486400278964,0.008365065668637373,0.012204485528337417,0.0664629392985212,-0.011922492287816389,483599665.5,16203033955.12,16203033955.12,41.21563,2.362253,2026-06-18,10
2026-06-24,603305,旭升集团,SH,ROLLING_MOMENTUM,2026-06-24 13:15:00,2026-06-24 13:16:00,2026-06-24 13:30:00,13.119999885559082,13.079999923706055,-0.0030487776068546246,-0.004048777606854625,0.0038284253793319234,0.006139671937492208,0.010794093042876263,0.014683194761895724,0.03020916715199906,0.013137564281815006,443665999.7,15255352939.2,15255352939.2,38.805016,2.22409,2026-06-23,10
2026-06-29,603305,旭升集团,SH,ROLLING_MOMENTUM,2026-06-29 13:45:00,2026-06-29 13:46:00,2026-06-29 14:00:00,11.579999923706055,11.579999923706055,0,-0.001,0.0034662012118935603,0.007832911608416149,0.014899218104065248,0.01842105659421467,0.045734429463285986,0.006081641479777744,394636920.95,13625803875.24,13625803875.24,34.659934,1.986517,2026-06-26,10
2026-06-30,603305,旭升集团,SH,ROLLING_MOMENTUM,2026-06-30 11:00:00,2026-06-30 11:01:00,2026-06-30 11:15:00,12.039999961853027,12.069999694824219,0.002491672181581528,0.001491672181581528,0.004170157772254823,0.01775148262901971,0.019474981715859485,0.031596915828672634,0.037800650120745516,-0.004135665020993495,380751886.35,13336876736.24,13336876736.24,33.924991,1.944394,2026-06-29,10
2026-07-01,603305,旭升集团,SH,ROLLING_MOMENTUM,2026-07-01 11:00:00,2026-07-01 11:01:00,2026-07-01 11:15:00,12.270000457763672,12.210000038146973,-0.004890009566277942,-0.005890009566277942,0.004909939822527631,0.007383113673992581,0.007383113673992581,0.014851510468267382,0.024146540909768754,0.009868411765204144,379592621.15,14007187698.72,14007187698.72,35.63006,2.042119,2026-06-30,10
2026-07-02,603305,旭升集团,SH,ROLLING_MOMENTUM,2026-07-02 11:15:00,2026-07-02 11:16:00,2026-07-02 11:30:00,12.600000381469727,12.460000038146973,-0.011111138022554812,-0.012111138022554813,0.014516154089778688,0.019448927726944287,0.014516154089778688,0.03168150904584466,0.049586728006576486,0.02526482920758455,377262179.25,14041858955.4,14041858955.4,35.718253,2.047174,2026-07-01,10
2026-07-09,603305,旭升集团,SH,ROLLING_MOMENTUM,2026-07-09 14:00:00,2026-07-09 14:01:00,2026-07-09 14:15:00,11.699999809265137,11.739999771118164,0.0034188002141120055,0.0024188002141120055,0.002572875931713625,0.008628078212154389,0.011245601734235278,0.01649301847512108,0.041884776670030543,0,360492661.85,13891999999.999998,13891999999.999998,35.2,1.51,2026-07-08,10
2026-07-10,603305,旭升集团,SH,ROLLING_MOMENTUM,2026-07-10 10:15:00,2026-07-10 10:16:00,2026-07-10 10:30:00,12.010000228881836,12.130000114440918,0.009991663886109281,0.00899166388610928,0.0041771252814912785,0.009235987553388947,0.009235987553388947,0.011784540570212165,0.021240440975097474,-0.009884669041635097,348257154.65,13637000000,13637000000,34.56,1.49,2026-07-09,10
2026-07-10,603305,旭升集团,SH,ROLLING_MOMENTUM,2026-07-10 10:30:00,2026-07-10 10:31:00,2026-07-10 10:45:00,12.109999656677246,12.220000267028809,0.009083452805129566,0.008083452805129565,0.006638997712843597,0.00915138539834226,0.01847189503336666,0.02186705363331054,0.032285398979398305,-0.000823742059227861,348257154.65,13637000000,13637000000,34.56,1.49,2026-07-09,10
