tradeDate,symbol,name,market,signalType,signalTime,entryTime,exitTime,entryPrice,exitPrice,grossReturn,netReturn,momentum5,momentum15,momentum30,rollingAmplitude30,intradayAmplitude,tailMomentum,averageAmount20,totalMarketCap,floatMarketCap,peTtm,pb,filterDataDate,roundTripCostBps
2026-06-16,600863,华能蒙电,SH,ROLLING_MOMENTUM,2026-06-16 10:30:00,2026-06-16 10:31:00,2026-06-16 10:45:00,5.78000020980835,5.840000152587891,0.010380612560830782,0.009380612560830781,0.003478257552437247,0.005226517596621072,0.008741292407143275,0.014035158459685393,0.02477873701283384,0.005226517596621072,2726058188.1,44425524805.2,37007453888.37,21.528642,2.563604,2026-06-15,10
2026-06-16,600863,华能蒙电,SH,ROLLING_MOMENTUM,2026-06-16 10:45:00,2026-06-16 10:46:00,2026-06-16 11:00:00,5.840000152587891,5.829999923706055,-0.0017123679144775972,-0.002712367914477597,0.0034364227382495116,0.01213174556200558,0.017421669940284046,0.024475585394744037,0.03716814771722854,0.017421669940284046,2726058188.1,44425524805.2,37007453888.37,21.528642,2.563604,2026-06-15,10
2026-06-16,600863,华能蒙电,SH,ROLLING_MOMENTUM,2026-06-16 11:15:00,2026-06-16 11:16:00,2026-06-16 11:30:00,5.869999885559082,5.860000133514404,-0.001703535304877657,-0.002703535304877657,0.006861057011403826,0.006861057011403826,0.005136940443040583,0.017182113691248002,0.04778760643701463,0.02264810446422616,2726058188.1,44425524805.2,37007453888.37,21.528642,2.563604,2026-06-15,10
2026-06-17,600863,华能蒙电,SH,TAIL_MOMENTUM,2026-06-17 14:45:00,2026-06-17 14:46:00,2026-06-17 15:00:00,5.690000057220459,5.679999828338623,-0.0017575094518929024,-0.0027575094518929024,0.00176060372958875,0.007079639146523986,0.00886528225505434,0.01243333808194258,0.05615941011787995,0.007079639146523986,2754152983.7,44817284283.2,37333798278.92,21.718489,2.586211,2026-06-16,10
2026-06-22,600863,华能蒙电,SH,ROLLING_MOMENTUM,2026-06-22 10:45:00,2026-06-22 10:46:00,2026-06-22 11:00:00,5.300000190734863,5.309999942779541,0.0018867456009075134,0.0008867456009075134,0.0018904024487615967,0.003787875024959364,0.013384353997340392,0.017208442114658773,0.042553150279516894,0,2662981096.15,41996616041.6,34984118666.96,20.351591,2.423443,2026-06-18,10
2026-06-25,600863,华能蒙电,SH,ROLLING_MOMENTUM,2026-06-25 13:15:00,2026-06-25 13:16:00,2026-06-25 13:30:00,4.929999828338623,4.900000095367432,-0.006085138745593244,-0.007085138745593244,0.006122394364758144,0.008179951522529372,0.004073315997566773,0.010245842771549496,0.02868849655788064,0,2492351248.9,39254299695.6,32699707933.11,19.022662,2.265195,2026-06-24,10
2026-06-30,600863,华能蒙电,SH,ROLLING_MOMENTUM,2026-06-30 10:30:00,2026-06-30 10:31:00,2026-06-30 10:45:00,4.739999771118164,4.71999979019165,-0.0042194054625018795,-0.0052194054625018796,0.004237284282951448,0.006369370005991248,0.012820501064172207,0.014989227768871904,0.03211993424344217,0.010660919677544234,2054194211.7,37843965574.8,31524868127.13,18.339213,2.183811,2026-06-29,10
2026-07-01,600863,华能蒙电,SH,ROLLING_MOMENTUM,2026-07-01 10:15:00,2026-07-01 10:16:00,2026-07-01 10:30:00,4.739999771118164,4.71999979019165,-0.0042194054625018795,-0.0052194054625018796,0.002114112474493446,0.008510630526872509,0.010660919677544234,0.019313338097612043,0.023706926008538964,-0.016597592882582446,1796330994.75,36825390932,30676372711.7,17.845611,2.125034,2026-06-30,10
2026-07-01,600863,华能蒙电,SH,ROLLING_MOMENTUM,2026-07-01 10:45:00,2026-07-01 10:46:00,2026-07-01 11:00:00,4.809999942779541,4.809999942779541,0,-0.001,0.01050414107006259,0.01906782978569499,0.014767969418037374,0.025531993035336376,0.038793170335178484,-0.0020747362086480647,1796330994.75,36825390932,30676372711.7,17.845611,2.125034,2026-06-30,10
2026-07-01,600863,华能蒙电,SH,ROLLING_MOMENTUM,2026-07-01 11:15:00,2026-07-01 11:16:00,2026-07-01 11:30:00,4.829999923706055,4.820000171661377,-0.002070342070938369,-0.003070342070938369,0.0020746372797806334,0.004158000242086457,0.004158000242086457,0.012526084187343134,0.04525863021328691,0.0020746372797806334,1796330994.75,36825390932,30676372711.7,17.845611,2.125034,2026-06-30,10
2026-07-02,600863,华能蒙电,SH,ROLLING_MOMENTUM,2026-07-02 14:15:00,2026-07-02 14:16:00,2026-07-02 14:30:00,4.699999809265137,4.699999809265137,0,-0.001,0.006410301476228897,0.006410301476228897,0.004264388205224678,0.008565302184057044,0.059957115288399754,0.002127708359077385,1620022669.65,38000669366,31655405883.35,18.415152,2.192854,2026-07-01,10
2026-07-09,600863,华能蒙电,SH,ROLLING_MOMENTUM,2026-07-09 11:15:00,2026-07-09 11:16:00,2026-07-09 11:30:00,4.460000038146973,4.449999809265137,-0.0022422037659871608,-0.0032422037659871608,0.004504500150622537,0.009049764968910745,0.009049764968910745,0.009049764968910745,0.05787036807080859,0.006772056652562197,1005409666.05,34005000000,28327000000,15,1.63,2026-07-08,10
2026-07-09,600863,华能蒙电,SH,ROLLING_MOMENTUM,2026-07-09 14:00:00,2026-07-09 14:01:00,2026-07-09 14:15:00,4.440000057220459,4.440000057220459,0,-0.001,0.0045248824844552615,0.0045248824844552615,0.006802768899403677,0.009090900224102638,0.05787036807080859,0.0022573880969170013,1005409666.05,34005000000,28327000000,15,1.63,2026-07-08,10
