tradeDate,symbol,name,market,signalType,signalTime,entryTime,exitTime,entryPrice,exitPrice,grossReturn,netReturn,momentum5,momentum15,momentum30,rollingAmplitude30,intradayAmplitude,tailMomentum,averageAmount20,totalMarketCap,floatMarketCap,peTtm,pb,filterDataDate,roundTripCostBps
2026-06-16,002028,思源电气,SZ,ROLLING_MOMENTUM,2026-06-16 10:30:00,2026-06-16 10:31:00,2026-06-16 10:45:00,179.39999389648438,179.6300048828125,0.0012821125649582488,0.00028211256495824875,0.0011160544176791465,0.00814833927006986,0.014304284780584764,0.01630622218566824,0.02865329512893977,0.02678567217882266,2477714209.8,139033452536,108485480398,43.95965,9.618296,2026-06-15,10
2026-06-29,002028,思源电气,SZ,ROLLING_MOMENTUM,2026-06-29 10:30:00,2026-06-29 10:31:00,2026-06-29 10:45:00,171.63999938964844,172.0800018310547,0.002563519243596435,0.0015635192435964349,0.006569746621571726,0.018397662335404297,0.009589956292910484,0.021505347102774408,0.03570364427886075,-0.005217355921648514,2541877431.8,136783922517.44,106730209703.92,43.248393,9.462675,2026-06-26,10
2026-06-29,002028,思源电气,SZ,ROLLING_MOMENTUM,2026-06-29 10:45:00,2026-06-29 10:46:00,2026-06-29 11:00:00,172.07000732421875,172.5399932861328,0.002731364804491987,0.001731364804491987,0.003323464185616576,0.002797177799920947,0.02124630166798025,0.026495523118656106,0.03570364427886075,-0.0024347719938858647,2541877431.8,136783922517.44,106730209703.92,43.248393,9.462675,2026-06-26,10
2026-06-29,002028,思源电气,SZ,ROLLING_MOMENTUM,2026-06-29 13:45:00,2026-06-29 13:46:00,2026-06-29 14:00:00,171.38999938964844,173.08999633789062,0.009918880648206896,0.008918880648206895,0.0017512290936505526,0.007869832056540016,0.013824046073302565,0.014118616534044559,0.03570364427886075,-0.005159416751585155,2541877431.8,136783922517.44,106730209703.92,43.248393,9.462675,2026-06-26,10
2026-06-29,002028,思源电气,SZ,ROLLING_MOMENTUM,2026-06-29 14:00:00,2026-06-29 14:01:00,2026-06-29 14:15:00,173.10000610351562,174.3000030517578,0.006932391137667526,0.005932391137667526,0.003187684439315497,0.008624181121585472,0.016561884035177554,0.02078933856177767,0.03570364427886075,0.0034202686254529713,2541877431.8,136783922517.44,106730209703.92,43.248393,9.462675,2026-06-26,10
2026-06-29,002028,思源电气,SZ,ROLLING_MOMENTUM,2026-06-29 14:15:00,2026-06-29 14:16:00,2026-06-29 14:30:00,174.13999938964844,172.5,-0.009417706416656402,-0.010417706416656403,0.007106925957626187,0.006990621869938263,0.01567509138068246,0.019336446775366056,0.036594805412595965,0.0104348003000454,2541877431.8,136783922517.44,106730209703.92,43.248393,9.462675,2026-06-26,10
2026-06-30,002028,思源电气,SZ,ROLLING_MOMENTUM,2026-06-30 13:15:00,2026-06-30 13:16:00,2026-06-30 13:30:00,172.8000030517578,172.61000061035156,-0.0010995511461266982,-0.0020995511461266983,0.0010426176712072799,0.0023779356598045975,0.010583542938697121,0.026138830268920055,0.03223526898552387,0.0048839834354446054,2520502069.75,135823185738.68,105980562844.99,42.944627,9.396211,2026-06-29,10
2026-06-30,002028,思源电气,SZ,TAIL_MOMENTUM,2026-06-30 14:45:00,2026-06-30 14:46:00,2026-06-30 15:00:00,173.08999633789062,173,-0.0005199395678242569,-0.001519939567824257,0.001388679573114171,0.006279445296590858,0.007803014208453751,0.009323955639962911,0.03223526898552387,0.006279445296590858,2520502069.75,135823185738.68,105980562844.99,42.944627,9.396211,2026-06-29,10
2026-07-06,002028,思源电气,SZ,ROLLING_MOMENTUM,2026-07-06 14:00:00,2026-07-06 14:01:00,2026-07-06 14:15:00,176.92999267578125,176.05999755859375,-0.004917171498343587,-0.005917171498343587,0.0016983965616022,0.004257010053236865,0.005455426768305127,0.010097000808028112,0.06434624310224657,0.010624237583528151,2310860899,131198000000,102402000000,40.32,8.14,2026-07-03,10
2026-07-09,002028,思源电气,SZ,ROLLING_MOMENTUM,2026-07-09 13:45:00,2026-07-09 13:46:00,2026-07-09 14:00:00,156.75999450683594,158.92999267578125,0.013842805849618056,0.012842805849618055,0.006614428276538797,0.014234855417669667,0.008752175916683536,0.018116839520343042,0.041808580398716266,-0.01859504882296581,2119675472.55,127403000000,99439000000,39.16,8.18,2026-07-08,10
