tradeDate,symbol,name,market,signalType,signalTime,entryTime,exitTime,entryPrice,exitPrice,grossReturn,netReturn,momentum5,momentum15,momentum30,rollingAmplitude30,intradayAmplitude,tailMomentum,averageAmount20,totalMarketCap,floatMarketCap,peTtm,pb,filterDataDate,roundTripCostBps
2026-06-17,601009,南京银行,SH,TAIL_MOMENTUM,2026-06-17 14:45:00,2026-06-17 14:46:00,2026-06-17 15:00:00,11.119999885559082,11.140000343322754,0.0017986023353870895,0.0007986023353870894,0.0018033817686367026,0.006340552089319829,0.006340552089319829,0.009074357862205007,0.027322422881791875,0.006340552089319829,548277164.45,138224681799.1,138224681799.1,6.338547,0.759128,2026-06-16,10
2026-06-22,601009,南京银行,SH,ROLLING_MOMENTUM,2026-06-22 10:45:00,2026-06-22 10:46:00,2026-06-22 11:00:00,10.760000228881836,10.800000190734863,0.0037174684946250647,0.0027174684946250647,0.0037313396321503323,0.006548236786368955,0.009380898958830874,0.010328696177619445,0.015992481134877723,-0.008294944647338265,560046783.2,134144704608.25,134144704608.25,6.151452,0.736721,2026-06-18,10
2026-06-22,601009,南京银行,SH,ROLLING_MOMENTUM,2026-06-22 13:15:00,2026-06-22 13:16:00,2026-06-22 13:30:00,10.90999984741211,10.979999542236328,0.006416104106621301,0.005416104106621301,0.0027573283690844885,0.010185153216164977,0.010185153216164977,0.01391471019668078,0.028222030809511578,0.005529904500727323,560046783.2,134144704608.25,134144704608.25,6.151452,0.736721,2026-06-18,10
2026-06-22,601009,南京银行,SH,ROLLING_MOMENTUM,2026-06-22 13:30:00,2026-06-22 13:31:00,2026-06-22 13:45:00,10.979999542236328,10.920000076293945,-0.005464432463005653,-0.006464432463005653,0.0027397016889267878,0.006416104106621301,0.016666606326163125,0.020408188541593875,0.03480713843609795,0.011981489050324923,560046783.2,134144704608.25,134144704608.25,6.151452,0.736721,2026-06-18,10
2026-06-23,601009,南京银行,SH,TAIL_MOMENTUM,2026-06-23 14:45:00,2026-06-23 14:46:00,2026-06-23 15:00:00,10.880000114440918,10.880000114440918,0,-0.001,0.0027624942535851016,0.0036866322992339384,0.004612563656000157,0.006469561041856586,0.025901916938234404,0.0036866322992339384,562889243.5,133897433263.35,133897433263.35,6.140113,0.735363,2026-06-22,10
2026-06-29,601009,南京银行,SH,ROLLING_MOMENTUM,2026-06-29 10:30:00,2026-06-29 10:31:00,2026-06-29 10:45:00,10.300000190734863,10.239999771118164,-0.005825283350059718,-0.006825283350059718,0.002926803216701579,0.014807464643207702,0.013806645454467636,0.01780418509281545,0.02899999618530269,0.002926803216701579,607035258.05,126602928588.8,126602928588.8,5.80561,0.695302,2026-06-26,10
2026-07-01,601009,南京银行,SH,ROLLING_MOMENTUM,2026-07-01 10:15:00,2026-07-01 10:16:00,2026-07-01 10:30:00,10.069999694824219,10.0600004196167,-0.000992976714056848,-0.001992976714056848,0.001990000369133549,0.002988021223623072,0.009018051775153024,0.01003003260953883,0.022334954805521168,-0.0059230423434215584,602197209.45,122275680053.05,122275680053.05,5.607176,0.671536,2026-06-30,10
2026-07-02,601009,南京银行,SH,ROLLING_MOMENTUM,2026-07-02 14:00:00,2026-07-02 14:01:00,2026-07-02 14:15:00,10.350000381469727,10.359999656677246,0.0009661135110121677,-0.00003388648898783233,0.0019361527503765075,0.007789670899729817,0.008771944500989504,0.010731673822170329,0.02169618401436879,-0.0009651810365721714,604906175.15,124872029174.5,124872029174.5,5.726236,0.685796,2026-07-01,10
2026-07-03,601009,南京银行,SH,ROLLING_MOMENTUM,2026-07-03 13:45:00,2026-07-03 13:46:00,2026-07-03 14:00:00,10.369999885559082,10.40999984741211,0.003857276981143354,0.002857276981143354,0.005819540591698091,0.0029013280975322964,0.0038722131799084902,0.0067894948569575675,0.025218163397241256,-0.00479848276091821,611607661.5,127839285313.3,127839285313.3,5.862305,0.702092,2026-07-02,10
2026-07-07,601009,南京银行,SH,TAIL_MOMENTUM,2026-07-07 14:45:00,2026-07-07 14:46:00,2026-07-07 15:00:00,10.65999984741211,10.670000076293945,0.0009381077884595967,-0.00006189221154040327,0.0018779773220716223,0.00376293146024409,0.0056550821449781186,0.006597610816554633,0.019029477156007113,0.00376293146024409,621554441.5,131796000000,131796000000,5.91,0.71,2026-07-06,10
2026-07-13,601009,南京银行,SH,ROLLING_MOMENTUM,2026-07-13 10:45:00,2026-07-13 10:46:00,2026-07-13 11:00:00,10.829999923706055,10.829999923706055,0,-0.001,0.001850092813415971,0.0046382367322268525,0.008379902654180427,0.010251688261361913,0.024574690997801074,-0.0009225303266668927,571384722.1,131548000000,131548000000,5.9,0.71,2026-07-10,10
2026-07-14,601009,南京银行,SH,ROLLING_MOMENTUM,2026-07-14 14:00:00,2026-07-14 14:01:00,2026-07-14 14:15:00,10.960000038146973,10.960000038146973,0,-0.001,0.0018281954781365073,0.0045829689673848595,0.009208138547982525,0.010138216848831538,0.021395306254542223,-0.0036363601684570312,565485246.9,134145000000,134145000000,6.02,0.72,2026-07-13,10
2026-07-15,601009,南京银行,SH,ROLLING_MOMENTUM,2026-07-15 11:00:00,2026-07-15 11:01:00,2026-07-15 11:15:00,11.119999885559082,11.109999656677246,-0.0008993011676935447,-0.0018993011676935448,0.0018002212764831604,0.007239811975128463,0.007239811975128463,0.009066217941130272,0.023919064546380486,-0.01154530300163481,554438130.8,136123000000,136123000000,6.1,0.73,2026-07-14,10
2026-07-15,601009,南京银行,SH,ROLLING_MOMENTUM,2026-07-15 14:00:00,2026-07-15 14:01:00,2026-07-15 14:15:00,11.260000228881836,11.239999771118164,-0.0017762395521423446,-0.0027762395521423447,0.0035650589038371816,0.0071556280431421815,0.008960607781093755,0.008960607781093755,0.03587859681957073,0,554438130.8,136123000000,136123000000,6.1,0.73,2026-07-14,10
