symbol,name,level1Code,level1Name,benchmarkWeightPct,targetWeightPct,activeWeightPct,peTtm,pb,valueScore,momentumScore,lowVolatilityScore,alphaScore,factorVersion
601788,光大证券,490000,非银金融,0.09999200063994877,0.10079645610731773,0.0008044554673689586,17.865269,1.092085,-0.15384615384615385,-0.15384615384615385,0.5384615384615384,0.019230769230769218,m2-4f41a561bd2dc413a713
300413,芒果超媒,720000,传媒,0.03899688024958002,0.039736250753208316,0.0007393705036282949,29.243989,1.181855,0.4,-0.6,0.6,0.04999999999999999,m2-4f41a561bd2dc413a713
603369,今世缘,340000,食品饮料,0.06299496040316772,0.06357952687108138,0.0005845664679136608,10.281628,1.790733,0.5454545454545455,0.09090909090909083,-0.8181818181818181,0.022727272727272707,m2-4f41a561bd2dc413a713
000768,中航西飞,650000,国防军工,0.10099192064634827,0.10131831590204463,0.0003263952556963601,49.475273,2.56471,0.2222222222222222,-0.11111111111111116,-0.11111111111111116,0.005555555555555508,m2-4f41a561bd2dc413a713
603501,豪威集团,270000,电子,0.28397728181745446,0.28407279744610814,0.00009551562865367513,29.569236,4.281453,0.7297297297297298,-1,0.5675675675675675,-0.0027027027027027306,m2-4f41a561bd2dc413a713
688472,阿特斯,630000,电力设备,0.05599552035837131,0.05606736604658805,0.00007184568821674148,38.598004,1.678642,0.30000000000000004,-0.7,0.7,2.7755575615628914e-17,m2-4f41a561bd2dc413a713
601727,上海电气,630000,电力设备,0.15598752099832008,0.15591457317178326,-0.00007294782653682885,90.183334,1.988873,-0.19999999999999996,-0.4,0.9,-0.0050000000000000044,m2-4f41a561bd2dc413a713
601618,中国中冶,620000,建筑装饰,0.06199504039676824,0.06180360074076142,-0.0001914396560068199,38.256056,0.497386,-0.5,0.25,0.25,-0.012499999999999983,m2-4f41a561bd2dc413a713
601669,中国电建,620000,建筑装饰,0.1429885609151267,0.14254701461175615,-0.0004415463033705658,7.558987,0.563039,-0.25,0.5,-0.5,-0.012499999999999983,m2-4f41a561bd2dc413a713
001391,国货航,420000,交通运输,0.02099832013438924,0.020103238668236132,-0.0008950814661531081,19.224768,1.851162,-0.0625,-0.5,0.375,-0.12812500000000002,m2-4f41a561bd2dc413a713
600025,华能水电,410000,公用事业,0.058995280377569764,0.05796163653847029,-0.0010336438390994712,19.235334,2.410913,-0.5833333333333334,0.16666666666666674,0.33333333333333337,-0.05416666666666661,m2-4f41a561bd2dc413a713
601238,广汽集团,280000,汽车,0.03999680025597951,0.0389175510475177,-0.0010792492084618077,-5.897464,0.492258,-0.09090909090909094,-0.6363636363636364,0.8181818181818181,-0.08181818181818185,m2-4f41a561bd2dc413a713
601117,中国化学,620000,建筑装饰,0.09499240060795133,0.09387406347491913,-0.0011183371330322073,6.973738,0.668007,-0.25,0.75,-1,-0.03749999999999995,m2-4f41a561bd2dc413a713
002028,思源电气,630000,电力设备,0.3809695224382048,0.37979309487467905,-0.0011764275635257615,42.724829,9.34812,-0.55,0.7,-0.3999999999999999,-0.012500000000000011,m2-4f41a561bd2dc413a713
600918,中泰证券,490000,非银金融,0.05999520038396926,0.0587921500133843,-0.0012030503705849557,29.361439,0.949095,-0.15384615384615385,0.07692307692307687,-0.15384615384615374,-0.061538461538461535,m2-4f41a561bd2dc413a713
688223,晶科能源,630000,电力设备,0.06899448044156466,0.06764738822701966,-0.001347092214545001,-7.188353,1.785067,-0.3,-0.19999999999999996,0.5,-0.06,m2-4f41a561bd2dc413a713
300015,爱尔眼科,370000,医药生物,0.13598912087033033,0.13453520040790334,-0.001453920462426983,23.928898,3.433572,-0.0625,0.125,-0.25,-0.034374999999999996,m2-4f41a561bd2dc413a713
601872,招商轮船,420000,交通运输,0.20098392128629702,0.19948861164093407,-0.0014953096453629577,23.597367,3.298862,-0.5,1,-1,-0.024999999999999967,m2-4f41a561bd2dc413a713
600660,福耀玻璃,280000,汽车,0.2859771218302534,0.2840753464853803,-0.0019017753448731245,14.135649,3.505001,-0.36363636363636365,0.09090909090909083,0.2727272727272727,-0.02272727272727275,m2-4f41a561bd2dc413a713
601868,中国能建,620000,建筑装饰,0.13198944084473238,0.1298661318276106,-0.002123309017121794,20.22523,1.059524,-0.75,1,-0.75,-0.04999999999999993,m2-4f41a561bd2dc413a713
000807,云铝股份,240000,有色金属,0.1629869610431165,0.16083341013084404,-0.002153550912272456,12.681181,2.396976,0.5,-0.33333333333333337,-0.33333333333333326,-0.041666666666666685,m2-4f41a561bd2dc413a713
601058,赛轮轮胎,280000,汽车,0.10699144068474517,0.10476904428814117,-0.002222396396604001,10.27205,1.799494,0.4545454545454545,-0.2727272727272727,-0.4545454545454546,-0.06363636363636367,m2-4f41a561bd2dc413a713
000596,古井贡酒,340000,食品饮料,0.045996320294376426,0.043699804946464804,-0.002296515347911622,8.916219,1.656706,0.9090909090909091,-1,-0.2727272727272727,-0.15000000000000002,m2-4f41a561bd2dc413a713
600489,中金黄金,240000,有色金属,0.18598512119030472,0.18334935200102337,-0.0026357691892813506,19.787537,2.996827,0.11111111111111116,-0.5555555555555556,0.5555555555555556,-0.04444444444444445,m2-4f41a561bd2dc413a713
601998,中信银行,480000,银行,0.1299896008319334,0.12721907567159707,-0.0027705251603363235,5.460661,0.532725,0.21739130434782605,0.21739130434782616,-0.9130434782608696,-0.06521739130434784,m2-4f41a561bd2dc413a713
002311,海大集团,110000,农林牧渔,0.1299896008319334,0.12715456062029762,-0.0028350402116357754,14.777184,2.93723,-0.33333333333333337,0.33333333333333326,-0.33333333333333326,-0.06666666666666668,m2-4f41a561bd2dc413a713
600588,用友网络,710000,计算机,0.06699464042876567,0.06402209094766823,-0.0029725494810974445,-15.65197,4.23415,-0.33333333333333337,-0.33333333333333337,0.4666666666666667,-0.13333333333333333,m2-4f41a561bd2dc413a713
000301,东方盛虹,750000,石油石化,0.10699144068474517,0.10380675820878221,-0.0031846824759629577,-100.747862,2.264793,-0.8,0.6000000000000001,-0.19999999999999996,-0.08999999999999991,m2-4f41a561bd2dc413a713
600570,恒生电子,710000,计算机,0.1139908807295416,0.11059785454019788,-0.0033930261893437147,32.591747,4.074556,0.5333333333333333,-0.7333333333333334,0.06666666666666665,-0.09000000000000008,m2-4f41a561bd2dc413a713
