tradeDate,enhancedCumulativeReturn,constituentBenchmarkCumulativeReturn,officialIndexCumulativeReturn,constituentExcessReturn,officialIndexExcessReturn,activeShare
2026-07-01,-0.002303100370189437,-0.0025988398088548914,-0.0027570590565669795,0.0002957394386654544,0.00045395868637754244,0.03818582142717216
2026-07-02,-0.031043464968447454,-0.031950522274487136,-0.03225417228904259,0.0009070573060396825,0.001210707320595139,0.038482190097041256
2026-07-03,-0.024718318413651796,-0.02582076020998747,-0.026247363097236964,0.0011024417963356736,0.0015290446835851679,0.03852294429775844
2026-07-06,-0.02459245900620388,-0.025866944952139814,-0.026281549825144856,0.0012744859459359326,0.0016890908189409748,0.038605052577910526
2026-07-07,-0.03465909144428092,-0.0358689156821973,-0.03628418421417767,0.0012098242379163793,0.0016250927698967521,0.03853393924900037
2026-07-08,-0.033818599880416245,-0.03487566646896201,-0.04367052842626418,0.001057066588545763,0.009851928545847932,0.0385243978789278
2026-07-09,-0.01808403360474997,-0.01892523804724877,-0.019381863739746374,0.0008412044424987997,0.0012978301349964028,0.03834612740048864
2026-07-10,-0.03743994785410876,-0.03849304437389267,-0.03859078285595918,0.0010530965197839137,0.0011508350018504254,0.03859505463630151
2026-07-13,-0.054587198839398,-0.05564024122438871,-0.055766597153653175,0.00105304238499071,0.0011793983142551756,0.03868190003758545
2026-07-14,-0.03445110489890624,-0.03532443737842106,-0.03543152700047647,0.0008733324795148212,0.000980422101570233,0.038498154661683506
2026-07-15,-0.03614810866907903,-0.037257615592289794,-0.037386203443206756,0.001109506923210768,0.0012380947741277293,0.03865482949461629
2026-07-16,-0.05387072647793767,-0.05507221093472825,-0.0408209641059466,0.0012014844567905802,-0.01304976237199107,0.038717527765005436
