tradeDate,symbol,name,level1Code,level1Name,dynamicBenchmarkWeightPct,dynamicTargetWeightPct,dynamicActiveWeightPct,absoluteActiveWeightPct
2026-07-01,300308,中际旭创,730000,通信,4.860391845483161,4.600223246520072,-0.2601685989630891,0.2601685989630891
2026-07-01,300750,宁德时代,630000,电力设备,3.626088135188952,3.8623090007313157,0.23622086554236388,0.23622086554236388
2026-07-01,300059,东方财富,490000,非银金融,0.9651477887660026,0.7690022801108369,-0.19614550865516567,0.19614550865516567
2026-07-01,300502,新易盛,730000,通信,2.8395139236957267,2.6547982331555127,-0.18471569054021408,0.18471569054021408
2026-07-01,000333,美的集团,330000,家用电器,1.3260953982551897,1.5091671460566334,0.18307174780144364,0.18307174780144364
2026-07-01,000651,格力电器,330000,家用电器,0.5942310466004831,0.768869035919887,0.17463798931940389,0.17463798931940389
2026-07-01,600150,中国船舶,650000,国防军工,0.5627496441083272,0.7253094548146172,0.16255981070629,0.16255981070629
2026-07-01,601899,紫金矿业,240000,有色金属,1.4840664018869656,1.3245190860017506,-0.15954731588521498,0.15954731588521498
2026-07-01,601288,农业银行,480000,银行,0.6175374544991434,0.47543277504441894,-0.1421046794547245,0.1421046794547245
2026-07-01,688256,寒武纪,270000,电子,1.6914433650069696,1.5556692474711833,-0.13577411753578628,0.13577411753578628
2026-07-01,600276,恒瑞医药,370000,医药生物,0.8587250760487732,0.7327078775126699,-0.12601719853610338,0.12601719853610338
2026-07-01,002371,北方华创,270000,电子,1.4354427731038177,1.5468845043048187,0.11144173120100098,0.11144173120100098
2026-07-01,000725,京东方Ａ,270000,电子,1.1557169598784176,1.2638373576315267,0.10812039775310911,0.10812039775310911
2026-07-01,002415,海康威视,710000,计算机,0.43404254101693146,0.5416544884263339,0.10761194740940244,0.10761194740940244
2026-07-01,688012,中微公司,270000,电子,1.2505230103312215,1.3514380754492838,0.10091506511806236,0.10091506511806236
2026-07-01,600036,招商银行,480000,银行,1.5750300759154283,1.4812240939493926,-0.09380598196603573,0.09380598196603573
2026-07-01,002050,三花智控,330000,家用电器,0.3508923562952951,0.271727195535518,-0.07916516075977709,0.07916516075977709
2026-07-01,601857,中国石油,750000,石油石化,0.40130352946745435,0.48020055770286757,0.07889702823541322,0.07889702823541322
2026-07-01,600919,江苏银行,480000,银行,0.573403576745672,0.649756256919872,0.07635268017420005,0.07635268017420005
2026-07-01,603986,兆易创新,270000,电子,1.8553827016666018,1.7823417813895952,-0.0730409202770066,0.0730409202770066
2026-07-01,600030,中信证券,490000,非银金融,1.021581437509027,1.0937862715775049,0.07220483406847777,0.07220483406847777
2026-07-01,600519,贵州茅台,340000,食品饮料,2.6553511034079778,2.7264958317958974,0.07114472838791963,0.07114472838791963
2026-07-01,601398,工商银行,480000,银行,0.8121934718407192,0.7454478808005703,-0.06674559104014888,0.06674559104014888
2026-07-01,601318,中国平安,490000,非银金融,1.8766700685086604,1.8126895147231321,-0.06398055378552825,0.06398055378552825
2026-07-01,600999,招商证券,490000,非银金融,0.30163008573006234,0.36429924054250257,0.06266915481244023,0.06266915481244023
