tradeDate,symbol,name,level1Code,level1Name,dayStartBenchmarkWeightPct,dayStartTargetWeightPct,dayStartActiveWeightPct,intradayBenchmarkContribution,intradayEnhancedContribution,intradayExcessContribution,minuteCount
2026-07-01,300502,新易盛,730000,通信,2.9917606591472667,2.797970414115068,-0.19379024503219888,-0.00161212156460579,-0.0015076969569516147,0.00010442460765417458,240
2026-07-01,300059,东方财富,490000,非银金融,0.9119270458363328,0.7268129507931327,-0.1851140950432001,0.0005028244887783891,0.00040075502978958685,-0.00010206945898880255,240
2026-07-01,300308,中际旭创,730000,通信,5.007599392048634,4.740956345133102,-0.2666430469155321,-0.0015743390486405394,-0.0014905091477354939,0.00008382990090504764,240
2026-07-01,688256,寒武纪,270000,电子,1.771858251339892,1.6301123391301917,-0.14174591220970023,-0.0008471872076509972,-0.0007794135449045156,0.00006777366274648088,240
2026-07-01,600150,中国船舶,650000,国防军工,0.5389568834493239,0.6948497192035616,0.15589283575423774,0.00022148361249414207,0.00028554756544679267,0.00006406395295265028,240
2026-07-01,002371,北方华创,270000,电子,1.3538916886649064,1.4594347458954275,0.10554305723052115,0.0007847650399131534,0.000845941648214622,0.00006117660830146818,240
2026-07-01,600276,恒瑞医药,370000,医药生物,0.8219342452603787,0.7015240181216019,-0.1204102271387768,0.0003429074516274503,0.0002926728198717673,-0.000050234631755683114,240
2026-07-01,600999,招商证券,490000,非银金融,0.2769778417726581,0.33462423304712074,0.05764639127446264,0.00023157089174012413,0.0002797668995781241,0.00004819600783800022,240
2026-07-01,300274,阳光电源,630000,电力设备,0.8159347252219818,0.7724880945744033,-0.04344663064757859,-0.000748343048034518,-0.0007084955173429009,0.00003984753069161678,240
2026-07-01,300750,宁德时代,630000,电力设备,3.6747060235181173,3.9152546608544165,0.24054863733629928,-0.0005706399489302825,-0.000607994409735128,-0.00003735446080484488,240
2026-07-01,600522,中天科技,730000,通信,0.5859531237500997,0.6325580731930436,0.04660494944294391,-0.00046724639594525433,-0.0005044097692217034,-0.000037163373276449074,240
2026-07-01,000725,京东方Ａ,270000,电子,1.1159107271418283,1.2206689791678056,0.10475825202597733,0.00037980591720689164,0.0004154609234972468,0.00003565500629035551,240
2026-07-01,002837,英维克,640000,机械设备,0.21498280137588985,0.15770546679402125,-0.057277334581868594,-0.0001333353087269618,-0.0000978111131138543,0.00003552419561310738,240
2026-07-01,601628,中国人寿,490000,非银金融,0.20798336133109344,0.17120727161987673,-0.03677608971121671,0.00020011672645279751,0.00016473163296434627,-0.00003538509348845128,240
2026-07-01,000333,美的集团,330000,家用电器,1.2988960883129346,1.478651188562801,0.17975510024986652,0.0002393764336701684,0.0002725038987684157,0.00003312746509824727,240
2026-07-01,002714,牧原股份,110000,农林牧渔,0.33797296216302686,0.2807828152287861,-0.05719014693424074,0.0001886262223839285,0.00015670780706233817,-0.00003191841532159038,240
2026-07-01,002475,立讯精密,270000,电子,1.2698984081273492,1.3199369990544747,0.05003859092712548,-0.0007662481709403607,-0.0007964411206511055,-0.00003019294971074395,240
2026-07-01,300476,胜宏科技,270000,电子,0.7479401647868167,0.6884316441228576,-0.059508520663959064,-0.0003544099427803521,-0.00032621194995098124,0.00002819799282937088,240
2026-07-01,600160,巨化股份,220000,基础化工,0.2529797616190704,0.20176259437705155,-0.05121716724201883,0.00013414210525930896,0.00010698428601206118,-0.00002715781924724766,240
2026-07-01,603986,兆易创新,270000,电子,1.9248460123190136,1.8496187952313805,-0.07522721708763314,-0.0006935971501075494,-0.0006664898474721347,0.000027107302635415595,240
2026-07-01,000988,华工科技,640000,机械设备,0.655947524198064,0.6100092629341801,-0.045938261263883895,-0.00037834078141728273,-0.0003518442751841392,0.000026496506233143582,240
2026-07-01,002415,海康威视,710000,计算机,0.442964562834973,0.5529524499381171,0.10998788710314411,-0.000099796851900583,-0.00012457636204884687,-0.00002477951014826394,240
