strategy,periods,start,end,totalReturn,cagr,annualVol,sharpe,maxDrawdown,calmar,winRate,avgPeriodReturn,avgOneWayTurnover,totalCost
仅换手率,562,2015-01-05,2026-07-22,20.23820203732874,0.3152719000992321,0.33622838019717327,0.984041017267221,-0.42070969664430713,0.7493811115216145,0.5907473309608541,0.006564732485780482,0.30722419928825623,0.51648
13因子-严格完整,562,2015-01-05,2026-07-22,2.023952806569353,0.10432735474582033,0.249784462200021,0.5213536418643147,-0.40330925670506224,0.2586783045798384,0.5480427046263345,0.00258384998113294,0.11042704626334521,0.18468
仅现金流,562,2015-01-05,2026-07-22,2.161579524497553,0.10874393780619052,0.2908283240776685,0.5000473527205628,-0.4992319626469064,0.21782246719467807,0.5533807829181495,0.0028854748720475404,0.08701067615658363,0.1452
13因子-中性化,562,2015-01-05,2026-07-22,1.81863296339988,0.09738577662230563,0.25055445317972025,0.49528412062873306,-0.4018113385219718,0.2423669202082021,0.5427046263345195,0.0024622151193002145,0.1141814946619217,0.19101
合格股票等权,562,2015-01-05,2026-07-22,1.9191811703792596,0.10084070153626201,0.3130146636996997,0.4647395689977907,-0.5903513234712277,0.17081472934341063,0.5587188612099644,0.002886315474162437,0.0,0.0
13因子-未中性化,562,2015-01-05,2026-07-22,1.1745366027125606,0.07214852292950358,0.21902195392962168,0.42693978505360536,-0.39173889496695735,0.1841750305023687,0.5427046263345195,0.001855340990728836,0.06357651245551602,0.10569
仅盈利,562,2015-01-05,2026-07-22,1.4497808728793258,0.08366942459565152,0.31199960629319234,0.4127421419356265,-0.5084929534058713,0.16454392147469518,0.5462633451957295,0.0025550671782643727,0.06850533807829182,0.11399999999999999
仅质量,562,2015-01-05,2026-07-22,1.1552655336323583,0.07129297083836295,0.29405749955778643,0.3828695920864568,-0.5839178088244048,0.12209418819045147,0.5409252669039146,0.0022338427560645462,0.04161921708185053,0.06867000000000001
仅规模,562,2015-01-05,2026-07-22,0.8887560710539251,0.05868649646062751,0.24091482917769375,0.3571887241574933,-0.49005817434143906,0.11975414253520597,0.5533807829181495,0.001707382152075414,0.02629893238434164,0.04284
中证500,561,2015-01-05,2026-07-15,0.43098234822835657,0.032718880075852,0.2766397533187858,0.25427043344350614,-0.6313403033174338,0.05182447549115386,0.5329768270944741,0.0013956609123823864,0.0,0.0
沪深300,561,2015-01-05,2026-07-15,0.2953970023671295,0.02352446361685634,0.22738252850085877,0.21470198872924515,-0.4523159015182755,0.052008924598698526,0.5311942959001783,0.0009686404974487825,0.0,0.0
随机100,562,2015-01-05,2026-07-22,-0.35229165954278463,-0.038200457153336975,0.317290145810653,0.037430485675852665,-0.7870001257333947,-0.048539327891134056,0.5071174377224199,0.00023564135432251686,0.9662633451957294,1.6276199999999998
13因子-反向Bottom100,562,2015-01-05,2026-07-22,-0.9969297739058903,-0.40481750017895046,0.40304280846935275,-1.0777964824746653,-0.9985531728135154,-0.40540404977968264,0.4234875444839858,-0.008619010342360687,0.2625444839857651,0.44115000000000004
