signalMonth,previousSignalMonth,action,indexCode,industryName,previousRank,currentRank,previousEqualWeight,currentEqualWeight,previousMarketCapWeight,currentMarketCapWeight
2022-12-01,2022-11-01,REWEIGHT,801170,交通运输,5,2,0.2,0.2,0.16363565721913037,0.13641306251907506
2022-12-01,2022-11-01,REWEIGHT,801720,建筑装饰,3,3,0.2,0.2,0.10003153305776746,0.07691347483312479
2022-12-01,2022-11-01,REWEIGHT,801770,通信,4,5,0.2,0.2,0.1617374151382639,0.12612646654082216
2023-01-01,2022-12-01,ADD,801180,房地产,,3,0,0.2,0,0.07483759631728708
2023-01-01,2022-12-01,ADD,801960,石油石化,,4,0,0.2,0,0.1466260672295891
2023-01-01,2022-12-01,ADD,801710,建筑材料,,5,0,0.2,0,0.05035114468431989
2023-01-01,2022-12-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.40614091122220847,0.44171642064470273
2023-01-01,2022-12-01,REWEIGHT,801790,非银金融,4,2,0.2,0.2,0.2544060848847694,0.28646877112410124
2023-02-01,2023-01-01,ADD,801770,通信,,3,0,0.2,0,0.1517270980089403
2023-02-01,2023-01-01,ADD,801040,钢铁,,4,0,0.2,0,0.04275382466706229
2023-02-01,2023-01-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.44171642064470273,0.40123928026796996
2023-02-01,2023-01-01,REWEIGHT,801790,非银金融,2,2,0.2,0.2,0.28646877112410124,0.266247610243042
2023-02-01,2023-01-01,REWEIGHT,801960,石油石化,4,5,0.2,0.2,0.1466260672295891,0.13803218681298554
2023-03-01,2023-02-01,ADD,801720,建筑装饰,,1,0,0.2,0,0.12037653375997642
2023-03-01,2023-02-01,ADD,801760,传媒,,5,0,0.2,0,0.09519356617301848
2023-03-01,2023-02-01,REWEIGHT,801770,通信,3,2,0.2,0.2,0.1517270980089403,0.22915590797188987
2023-03-01,2023-02-01,REWEIGHT,801960,石油石化,5,3,0.2,0.2,0.13803218681298554,0.2043148469231712
2023-03-01,2023-02-01,REWEIGHT,801790,非银金融,2,4,0.2,0.2,0.266247610243042,0.350959145171944
2023-04-01,2023-03-01,ADD,801780,银行,,3,0,0.2,0,0.37437239492716856
2023-04-01,2023-03-01,REWEIGHT,801720,建筑装饰,1,1,0.2,0.2,0.12037653375997642,0.08496493787587467
2023-04-01,2023-03-01,REWEIGHT,801960,石油石化,3,2,0.2,0.2,0.2043148469231712,0.14858999100800124
2023-04-01,2023-03-01,REWEIGHT,801770,通信,2,4,0.2,0.2,0.22915590797188987,0.1545421572355219
2023-04-01,2023-03-01,REWEIGHT,801790,非银金融,4,5,0.2,0.2,0.350959145171944,0.2375305189534336
2023-05-01,2023-04-01,REWEIGHT,801780,银行,3,1,0.2,0.2,0.37437239492716856,0.38700956551868554
2023-05-01,2023-04-01,REWEIGHT,801720,建筑装饰,1,2,0.2,0.2,0.08496493787587467,0.07933560533777466
2023-05-01,2023-04-01,REWEIGHT,801960,石油石化,2,3,0.2,0.2,0.14858999100800124,0.14358713499853729
2023-05-01,2023-04-01,REWEIGHT,801770,通信,4,4,0.2,0.2,0.1545421572355219,0.1546741371107854
2023-05-01,2023-04-01,REWEIGHT,801790,非银金融,5,5,0.2,0.2,0.2375305189534336,0.23539355703421702
2023-06-01,2023-05-01,ADD,801110,家用电器,,4,0,0.2,0,0.07896966422128501
2023-06-01,2023-05-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.38700956551868554,0.46209812265586575
2023-06-01,2023-05-01,REWEIGHT,801770,通信,4,2,0.2,0.2,0.1546741371107854,0.1903690698139918
2023-06-01,2023-05-01,REWEIGHT,801960,石油石化,3,3,0.2,0.2,0.14358713499853729,0.17423619394039658
2023-06-01,2023-05-01,REWEIGHT,801720,建筑装饰,2,5,0.2,0.2,0.07933560533777466,0.09432694936846066
2023-07-01,2023-06-01,ADD,801790,非银金融,,1,0,0.2,0,0.28429918617009575
2023-07-01,2023-06-01,ADD,801180,房地产,,2,0,0.2,0,0.0672459003617672
2023-07-01,2023-06-01,ADD,801040,钢铁,,5,0,0.2,0,0.03921630205505564
2023-07-01,2023-06-01,REWEIGHT,801770,通信,2,3,0.2,0.2,0.1903690698139918,0.17347345974391293
2023-07-01,2023-06-01,REWEIGHT,801780,银行,1,4,0.2,0.2,0.46209812265586575,0.43576515166916846
2023-08-01,2023-07-01,ADD,801960,石油石化,,2,0,0.2,0,0.16715223745074217
2023-08-01,2023-07-01,ADD,801110,家用电器,,3,0,0.2,0,0.06882321517549451
2023-08-01,2023-07-01,REWEIGHT,801790,非银金融,1,1,0.2,0.2,0.28429918617009575,0.2757087291419442
2023-08-01,2023-07-01,REWEIGHT,801180,房地产,2,4,0.2,0.2,0.0672459003617672,0.06444937702808877
2023-08-01,2023-07-01,REWEIGHT,801780,银行,4,5,0.2,0.2,0.43576515166916846,0.4238664412037304
2023-09-01,2023-08-01,ADD,801950,煤炭,,3,0,0.2,0,0.0732848289991202
2023-09-01,2023-08-01,ADD,801040,钢铁,,5,0,0.2,0,0.03778972626747523
2023-09-01,2023-08-01,REWEIGHT,801960,石油石化,2,1,0.2,0.2,0.16715223745074217,0.17595686237153596
2023-09-01,2023-08-01,REWEIGHT,801780,银行,5,2,0.2,0.2,0.4238664412037304,0.4395450916696375
2023-09-01,2023-08-01,REWEIGHT,801790,非银金融,1,4,0.2,0.2,0.2757087291419442,0.273423490692231
2023-10-01,2023-09-01,REWEIGHT,801950,煤炭,3,1,0.2,0.2,0.0732848289991202,0.07342432955250165
2023-10-01,2023-09-01,REWEIGHT,801780,银行,2,2,0.2,0.2,0.4395450916696375,0.44660966145935893
2023-10-01,2023-09-01,REWEIGHT,801040,钢铁,5,3,0.2,0.2,0.03778972626747523,0.038829426791357945
2023-10-01,2023-09-01,REWEIGHT,801960,石油石化,1,4,0.2,0.2,0.17595686237153596,0.16651829956087105
2023-10-01,2023-09-01,REWEIGHT,801790,非银金融,4,5,0.2,0.2,0.273423490692231,0.2746182826359104
2023-11-01,2023-10-01,ADD,801880,汽车,,5,0,0.2,0,0.19052849204772282
2023-11-01,2023-10-01,REWEIGHT,801950,煤炭,1,1,0.2,0.2,0.07342432955250165,0.08658453487602852
2023-11-01,2023-10-01,REWEIGHT,801960,石油石化,4,2,0.2,0.2,0.16651829956087105,0.18537159266638947
2023-11-01,2023-10-01,REWEIGHT,801780,银行,2,3,0.2,0.2,0.44660966145935893,0.49521735151987484
2023-11-01,2023-10-01,REWEIGHT,801040,钢铁,3,4,0.2,0.2,0.038829426791357945,0.04229802888998445
2023-12-01,2023-11-01,ADD,801130,纺织服饰,,4,0,0.2,0,0.03364779186532595
2023-12-01,2023-11-01,ADD,801160,公用事业,,5,0,0.2,0,0.1614225412085909
2023-12-01,2023-11-01,REWEIGHT,801950,煤炭,1,1,0.2,0.2,0.08658453487602852,0.09135153806933856
2023-12-01,2023-11-01,REWEIGHT,801960,石油石化,2,2,0.2,0.2,0.18537159266638947,0.19571644452159956
2023-12-01,2023-11-01,REWEIGHT,801780,银行,3,3,0.2,0.2,0.49521735151987484,0.517861684335145
2024-01-01,2023-12-01,ADD,801170,交通运输,,4,0,0.2,0,0.1322870391081593
2024-01-01,2023-12-01,ADD,801720,建筑装饰,,5,0,0.2,0,0.08291417604230573
2024-01-01,2023-12-01,REWEIGHT,801780,银行,3,1,0.2,0.2,0.517861684335145,0.5006185412649233
2024-01-01,2023-12-01,REWEIGHT,801950,煤炭,1,2,0.2,0.2,0.09135153806933856,0.09187369603206343
2024-01-01,2023-12-01,REWEIGHT,801960,石油石化,2,3,0.2,0.2,0.19571644452159956,0.19230654755254825
2024-02-01,2024-01-01,ADD,801110,家用电器,,4,0,0.2,0,0.07394918778751858
2024-02-01,2024-01-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.5006185412649233,0.5013813255038198
2024-02-01,2024-01-01,REWEIGHT,801950,煤炭,2,2,0.2,0.2,0.09187369603206343,0.094192138822888
2024-02-01,2024-01-01,REWEIGHT,801960,石油石化,3,3,0.2,0.2,0.19230654755254825,0.19754590835939242
2024-02-01,2024-01-01,REWEIGHT,801170,交通运输,4,5,0.2,0.2,0.1322870391081593,0.13293143952638123
2024-03-01,2024-02-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.5013813255038198,0.4898996428736506
2024-03-01,2024-02-01,REWEIGHT,801960,石油石化,3,2,0.2,0.2,0.19754590835939242,0.21442077457397557
2024-03-01,2024-02-01,REWEIGHT,801950,煤炭,2,3,0.2,0.2,0.094192138822888,0.08964410665116936
2024-03-01,2024-02-01,REWEIGHT,801110,家用电器,4,4,0.2,0.2,0.07394918778751858,0.07430313973090572
2024-03-01,2024-02-01,REWEIGHT,801170,交通运输,5,5,0.2,0.2,0.13293143952638123,0.1317323361702987
2024-04-01,2024-03-01,ADD,801770,通信,,5,0,0.2,0,0.1741317304055338
2024-04-01,2024-03-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.4898996428736506,0.46772792632832344
2024-04-01,2024-03-01,REWEIGHT,801960,石油石化,2,2,0.2,0.2,0.21442077457397557,0.20074567600927629
2024-04-01,2024-03-01,REWEIGHT,801950,煤炭,3,3,0.2,0.2,0.08964410665116936,0.08322998766889163
2024-04-01,2024-03-01,REWEIGHT,801110,家用电器,4,4,0.2,0.2,0.07430313973090572,0.07416467958797467
2024-05-01,2024-04-01,ADD,801170,交通运输,,4,0,0.2,0,0.1324390659765133
2024-05-01,2024-04-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.46772792632832344,0.49299156189277454
2024-05-01,2024-04-01,REWEIGHT,801960,石油石化,2,2,0.2,0.2,0.20074567600927629,0.2072485250917272
2024-05-01,2024-04-01,REWEIGHT,801950,煤炭,3,3,0.2,0.2,0.08322998766889163,0.0925971572331604
2024-05-01,2024-04-01,REWEIGHT,801110,家用电器,4,5,0.2,0.2,0.07416467958797467,0.07472368980582454
2024-06-01,2024-05-01,ADD,801160,公用事业,,5,0,0.2,0,0.14130897089802083
2024-06-01,2024-05-01,REWEIGHT,801780,银行,1,1,0.2,0.2,0.49299156189277454,0.4593575067750819
